Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15
2018-01-08 13:00:00,EUR,Low,German Factory Orders m/m,-0.4%,0.1%,0.7%,-93.0,-10.0,5.0,
2018-01-08 15:30:00,EUR,Low,Sentix Investor Confidence,32.9,31.5,31.1,-93.0,-14.0,-14.0,
2018-01-08 16:00:00,EUR,Low,Retail Sales m/m,1.5%,1.4%,-1.1%,-93.0,-7.0,-7.0,
2018-01-09 02:00:00,USD,Low,Consumer Credit m/m,28.0B,17.8B,20.5B,-63.0,-10.0,-7.0,
2018-01-09 13:00:00,EUR,Low,German Industrial Production m/m,3.4%,1.9%,-1.2%,-63.0,-14.0,-5.0,
2018-01-09 13:00:00,EUR,Low,German Trade Balance,22.3B,20.7B,19.9B,-63.0,-14.0,-5.0,
2018-01-09 13:45:00,EUR,Low,French Trade Balance,-5.7B,-4.8B,-5.3B,-63.0,17.0,17.0,
2018-01-09 15:00:00,EUR,Low,Italian Monthly Unemployment Rate,11.0%,11.0%,11.1%,-63.0,-20.0,-13.0,
2018-01-09 16:00:00,EUR,Low,Unemployment Rate,8.7%,8.7%,8.8%,-63.0,14.0,14.0,
2018-01-09 17:00:00,USD,Low,NFIB Small Business Index,104.9,108.4,107.5,-63.0,-14.0,-14.0,
2018-01-09 21:00:00,USD,Low,JOLTS Job Openings,5.88M,6.05M,5.93M,-63.0,16.0,13.0,
2018-01-10 13:45:00,EUR,Low,French Industrial Production m/m,-0.5%,-0.4%,1.7%,101.0,21.0,12.0,
2018-01-10 19:30:00,USD,Medium,Import Prices m/m,0.1%,0.4%,0.8%,101.0,-24.0,-18.0,
2018-01-10 21:00:00,USD,Low,Final Wholesale Inventories m/m,0.8%,0.7%,0.7%,101.0,-34.0,13.0,
2018-01-10 21:30:00,USD,High,Crude Oil Inventories,-4.9M,-3.9M,-7.4M,101.0,-23.0,-23.0,
2018-01-11 15:03:00,EUR,Low,Italian Retail Sales m/m,1.1%,0.8%,-1.0%,130.0,-13.0,-13.0,
2018-01-11 16:00:00,EUR,Low,Industrial Production m/m,1.0%,0.8%,0.4%,130.0,16.0,14.0,
2018-01-11 19:30:00,USD,High,PPI m/m,-0.1%,0.2%,0.4%,130.0,90.0,76.0,
2018-01-11 19:30:00,USD,Medium,Core PPI m/m,-0.1%,0.2%,0.3%,130.0,90.0,76.0,
2018-01-11 19:30:00,USD,Medium,Unemployment Claims,261K,246K,250K,130.0,90.0,76.0,
2018-01-11 21:30:00,USD,Low,Natural Gas Storage,-359B,-318B,-206B,130.0,27.0,17.0,
2018-01-12 01:00:00,USD,Low,Federal Budget Balance,-23.2B,-34.5B,-138.5B,128.0,17.0,15.0,
2018-01-12 13:45:00,EUR,Low,French Final CPI m/m,0.3%,0.3%,0.3%,128.0,32.0,17.0,
