Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15
2016-01-04 23:30:00,EUR,Medium,German Prelim CPI m/m,-0.1%,0.2%,0.1%,-165.0,17.0,17.0,10.0
2016-01-04 14:15:00,EUR,Medium,Spanish Manufacturing PMI,53.0,53.1,53.1,-165.0,49.0,18.0,11.0
2016-01-04 14:45:00,EUR,Low,Italian Manufacturing PMI,55.6,54.9,54.9,-165.0,46.0,34.0,20.0
2016-01-04 14:50:00,EUR,Low,French Final Manufacturing PMI,51.4,51.6,51.6,-165.0,36.0,35.0,13.0
2016-01-04 14:55:00,EUR,Low,German Final Manufacturing PMI,53.2,53.0,53.0,-165.0,36.0,36.0,23.0
2016-01-04 15:00:00,EUR,Low,Final Manufacturing PMI,53.2,53.1,53.1,-165.0,36.0,36.0,24.0
2016-01-04 20:45:00,USD,Low,Final Manufacturing PMI,51.2,51.1,51.3,-165.0,17.0,17.0,-14.0
2016-01-04 21:00:00,USD,High,ISM Manufacturing PMI,48.2,49.1,48.6,-165.0,-30.0,14.0,14.0
2016-01-04 21:00:00,USD,Low,Construction Spending m/m,-0.4%,0.7%,0.3%,-165.0,-30.0,14.0,14.0
2016-01-04 21:00:00,USD,Low,ISM Manufacturing Prices,33.5,36.5,35.5,-165.0,-30.0,14.0,14.0
2016-01-05 14:00:00,EUR,Medium,Spanish Unemployment Change,-55.8K,-52.6K,-27.1K,-128.0,-25.0,-23.0,-16.0
2016-01-05 14:55:00,EUR,Medium,German Unemployment Change,-14K,-7K,-14K,-128.0,-31.0,-11.0,10.0
2016-01-05 16:00:00,EUR,Medium,CPI Flash Estimate y/y,0.2%,0.4%,0.2%,-128.0,-26.0,-16.0,-13.0
2016-01-05 16:00:00,EUR,Medium,Core CPI Flash Estimate y/y,0.9%,1.0%,0.9%,-128.0,-26.0,-16.0,-13.0
2016-01-05 16:00:00,EUR,Low,Italian Prelim CPI m/m,0.0%,0.1%,-0.4%,-128.0,-26.0,-16.0,-13.0
2016-01-05 20:07:00,USD,Low,Wards Total Vehicle Sales,17.2M,18.0M,18.0M,-128.0,-18.0,-14.0,-13.0
2016-01-05 20:07:00,USD,Low,Total Vehicle Sales,17.3M,18.1M,18.2M,-128.0,-18.0,-14.0,-13.0
2016-01-06 14:15:00,EUR,Low,Spanish Services PMI,55.1,56.9,56.7,-59.0,-17.0,-14.0,7.0
2016-01-06 14:45:00,EUR,Low,Italian Services PMI,55.3,53.8,53.4,-59.0,24.0,16.0,-12.0
2016-01-06 14:50:00,EUR,Low,French Final Services PMI,49.8,50.0,50.0,-59.0,23.0,16.0,13.0
2016-01-06 14:55:00,EUR,Low,German Final Services PMI,56.0,55.4,55.4,-59.0,21.0,21.0,12.0
2016-01-06 15:00:00,EUR,Low,Final Services PMI,54.2,53.9,53.9,-59.0,-19.0,15.0,7.0
2016-01-06 16:00:00,EUR,Low,PPI m/m,-0.2%,-0.2%,-0.3%,-59.0,-16.0,-16.0,-13.0
2016-01-06 19:15:00,USD,High,ADP Non-Farm Employment Change,257K,193K,211K,-59.0,-20.0,-10.0,-6.0
2016-01-06 19:30:00,USD,High,Trade Balance,-42.4B,-44.0B,-44.6B,-59.0,-45.0,-19.0,6.0
2016-01-06 20:45:00,USD,Low,Final Services PMI,54.3,55.1,53.7,-59.0,-23.0,-17.0,-17.0
2016-01-06 21:00:00,USD,High,ISM Services PMI,55.3,56.0,55.9,-59.0,26.0,-13.0,11.0
2016-01-06 21:00:00,USD,Medium,Factory Orders m/m,-0.2%,-0.2%,1.3%,-59.0,26.0,-13.0,11.0
2016-01-06 21:30:00,USD,Medium,Crude Oil Inventories,-5.1M,0.7M,2.6M,-59.0,34.0,26.0,16.0
2016-01-07 13:00:00,EUR,Medium,German Factory Orders m/m,1.5%,0.1%,1.7%,128.0,-16.0,-11.0,-10.0
2016-01-07 13:00:00,EUR,Medium,German Retail Sales m/m,0.2%,0.5%,-0.1%,128.0,-16.0,-11.0,-10.0
2016-01-07 15:00:00,EUR,Low,Italian Monthly Unemployment Rate,11.3%,11.5%,11.5%,128.0,37.0,-19.0,-16.0
2016-01-07 16:00:00,EUR,Medium,Unemployment Rate,10.5%,10.7%,10.6%,128.0,62.0,62.0,41.0
2016-01-07 16:00:00,EUR,Low,Retail Sales m/m,-0.3%,0.2%,-0.2%,128.0,62.0,62.0,41.0
2016-01-07 19:30:00,USD,High,Unemployment Claims,277K,271K,287K,128.0,28.0,-15.0,-13.0
2016-01-07 21:30:00,USD,Low,Natural Gas Storage,-113B,-95B,-58B,128.0,38.0,-24.0,-19.0
2016-01-08 13:00:00,EUR,Low,German Industrial Production m/m,-0.3%,0.4%,0.5%,-137.0,-26.0,6.0,6.0
2016-01-08 13:00:00,EUR,Low,German Trade Balance,19.7B,20.1B,20.5B,-137.0,-26.0,6.0,6.0
2016-01-08 13:45:00,EUR,Low,French Industrial Production m/m,-0.9%,-0.2%,0.7%,-137.0,-10.0,-10.0,8.0
2016-01-08 13:45:00,EUR,Low,French Trade Balance,-4.6B,-4.0B,-4.9B,-137.0,-10.0,-10.0,8.0
2016-01-08 19:30:00,USD,High,Average Hourly Earnings m/m,0.0%,0.2%,0.2%,-137.0,-18.0,-12.0,9.0
2016-01-08 19:30:00,USD,High,Non-Farm Employment Change,292K,203K,252K,-137.0,-18.0,-12.0,9.0
2016-01-08 19:30:00,USD,High,Unemployment Rate,5.0%,5.0%,5.0%,-137.0,-18.0,-12.0,9.0
2016-01-08 21:00:00,USD,Low,Final Wholesale Inventories m/m,-0.3%,0.0%,-0.3%,-137.0,56.0,56.0,45.0
2016-01-09 02:00:00,USD,Low,Consumer Credit m/m,14.0B,18.7B,15.6B,60.0,15.0,13.0,10.0
2016-01-11 15:30:00,EUR,Low,Sentix Investor Confidence,9.6,11.5,15.7,-122.0,22.0,-18.0,-17.0
2016-01-12 17:00:00,USD,Low,NFIB Small Business Index,95.2,95.4,94.8,-81.0,-16.0,9.0,-7.0
2016-01-12 21:00:00,USD,Medium,JOLTS Job Openings,5.43M,5.41M,5.35M,-81.0,-18.0,15.0,9.0
2016-01-12 21:00:00,USD,Low,IBD/TIPP Economic Optimism,47.3,47.6,47.2,-81.0,-18.0,15.0,9.0
2016-01-13 13:45:00,EUR,Low,French Final CPI m/m,0.2%,0.1%,-0.2%,77.0,16.0,-15.0,5.0
2016-01-13 16:00:00,EUR,Low,Industrial Production m/m,-0.7%,-0.2%,0.8%,77.0,-21.0,-21.0,-7.0
2016-01-13 21:30:00,USD,High,Crude Oil Inventories,0.2M,1.9M,-5.1M,77.0,42.0,32.0,24.0
2016-01-14 01:00:00,USD,Low,Federal Budget Balance,-14.4B,-2.7B,-64.6B,-109.0,19.0,-11.0,-10.0
2016-01-14 13:00:00,EUR,Low,German WPI m/m,-0.8%,0.1%,-0.2%,-109.0,-14.0,-12.0,-11.0
2016-01-14 15:00:00,EUR,Low,Italian Industrial Production m/m,-0.5%,0.3%,0.5%,-109.0,62.0,26.0,12.0
2016-01-14 19:30:00,USD,High,Unemployment Claims,284K,275K,277K,-109.0,-36.0,-36.0,-34.0
2016-01-14 19:30:00,USD,Medium,Import Prices m/m,-1.2%,-1.4%,-0.5%,-109.0,-36.0,-36.0,-34.0
2016-01-14 21:30:00,USD,Low,Natural Gas Storage,-168B,-152B,-113B,-109.0,-37.0,20.0,18.0
2016-01-15 16:00:00,EUR,Low,Trade Balance,22.7B,21.1B,19.8B,138.0,28.0,28.0,13.0
2016-01-15 19:30:00,USD,High,Core Retail Sales m/m,-0.1%,0.2%,0.3%,138.0,23.0,-17.0,13.0
2016-01-15 19:30:00,USD,High,PPI m/m,-0.2%,-0.2%,0.3%,138.0,23.0,-17.0,13.0
2016-01-15 19:30:00,USD,High,Retail Sales m/m,-0.1%,-0.1%,0.4%,138.0,23.0,-17.0,13.0
2016-01-15 19:30:00,USD,Medium,Core PPI m/m,0.1%,0.1%,0.3%,138.0,23.0,-17.0,13.0
2016-01-15 19:30:00,USD,Medium,Empire State Manufacturing Index,-19.4,-4.1,-4.6,138.0,23.0,-17.0,13.0
2016-01-15 20:15:00,USD,Medium,Capacity Utilization Rate,76.5%,76.8%,76.9%,138.0,71.0,48.0,12.0
2016-01-15 20:15:00,USD,Medium,Industrial Production m/m,-0.4%,-0.2%,-0.9%,138.0,71.0,48.0,12.0
2016-01-15 21:00:00,USD,High,Prelim UoM Consumer Sentiment,93.3,92.7,92.6,138.0,40.0,40.0,-37.0
