Time,Currency,Impact,Event,Actual,Previous,EffectDay,Effect60,Effect30
8/10/2015 15:30,EUR,Low,Sentix Investor Confidence,18.4,18.5,110,-13,-13
8/11/2015 13:00,EUR,Low,German WPI m/m,0.10%,-0.20%,128,-20,12
8/11/2015 16:00,EUR,High,German ZEW Economic Sentiment,25,29.7,128,-23,-23
8/11/2015 16:00,EUR,Medium,ZEW Economic Sentiment,47.6,42.7,128,-23,-23
8/11/2015 17:00,USD,Low,NFIB Small Business Index,95.4,94.1,128,16,8
8/11/2015 19:30,USD,High,Prelim Unit Labor Costs q/q,0.50%,6.70%,128,33,18
8/11/2015 19:30,USD,Medium,Prelim Nonfarm Productivity q/q,1.30%,-3.10%,128,33,18
8/11/2015 21:00,USD,Low,Final Wholesale Inventories m/m,0.90%,0.60%,128,-40,-31
8/12/2015 15:00,EUR,Low,Italian Trade Balance,2.81B,4.14B,196,42,42
8/12/2015 16:00,EUR,Low,Industrial Production m/m,-0.40%,-0.20%,196,15,12
8/12/2015 21:00,USD,Medium,JOLTS Job Openings,5.25M,5.36M,196,24,-18
8/12/2015 21:30,USD,Medium,Crude Oil Inventories,-1.7M,-4.4M,196,38,22
8/13/2015 1:00,USD,Low,Federal Budget Balance,-149.2B,51.8B,-109,-15,11
8/13/2015 13:00,EUR,Low,German Final CPI m/m,0.20%,0.20%,-109,-36,-24
8/13/2015 13:45,EUR,Low,French Final CPI m/m,-0.40%,-0.10%,-109,-24,-16
8/13/2015 19:30,USD,High,Core Retail Sales m/m,0.40%,0.40%,-109,-44,-44
8/13/2015 19:30,USD,High,Retail Sales m/m,0.60%,0.00%,-109,-44,-44
8/13/2015 19:30,USD,High,Unemployment Claims,274K,269K,-109,-44,-44
8/13/2015 19:30,USD,Medium,Import Prices m/m,-0.90%,0.00%,-109,-44,-44
8/13/2015 21:00,USD,Low,Business Inventories m/m,0.80%,0.30%,-109,20,-15
8/13/2015 21:30,USD,Low,Natural Gas Storage,65B,32B,-109,36,18
8/14/2015 12:30,EUR,Low,French Prelim GDP q/q,0.00%,0.70%,-91,-15,-5
8/14/2015 13:00,EUR,High,German Prelim GDP q/q,0.40%,0.30%,-91,24,-12
8/14/2015 13:45,EUR,Low,French Prelim Private Payrolls q/q,0.20%,0.00%,-91,-31,29
8/14/2015 15:00,EUR,Low,Italian Prelim GDP q/q,0.20%,0.30%,-91,20,15
8/14/2015 16:00,EUR,Medium,Final CPI y/y,0.20%,0.20%,-91,25,-16
8/14/2015 16:00,EUR,Medium,Flash GDP q/q,0.30%,0.40%,-91,25,-16
8/14/2015 16:00,EUR,Low,Final Core CPI y/y,1.00%,1.00%,-91,25,-16
8/14/2015 19:30,USD,High,PPI m/m,0.20%,0.40%,-91,-38,-18
8/14/2015 19:30,USD,Medium,Core PPI m/m,0.30%,0.30%,-91,-38,-18
8/14/2015 20:15,USD,Medium,Capacity Utilization Rate,78.00%,77.70%,-91,32,-22
8/14/2015 20:15,USD,Medium,Industrial Production m/m,0.60%,0.10%,-91,32,-22
8/14/2015 21:00,USD,High,Prelim UoM Consumer Sentiment,92.9,93.1,-91,-52,21
8/17/2015 16:00,EUR,Low,Trade Balance,21.9B,21.3B,-66,-26,18
8/17/2015 19:30,USD,Medium,Empire State Manufacturing Index,-14.9,3.9,-66,30,30
8/17/2015 21:00,USD,Low,NAHB Housing Market Index,61,60,-66,-24,-19
8/18/2015 3:00,USD,Low,TIC Long-Term Purchases,103.1B,93.0B,-77,-8,-6
8/18/2015 19:30,USD,High,Building Permits,1.12M,1.34M,-77,-44,-39
8/18/2015 19:30,USD,Medium,Housing Starts,1.21M,1.20M,-77,-44,-39
8/19/2015 15:00,EUR,Low,Current Account,25.4B,19.1B,58,-19,10
8/19/2015 19:30,USD,High,CPI m/m,0.10%,0.30%,58,-57,-57
8/19/2015 19:30,USD,High,Core CPI m/m,0.10%,0.20%,58,-57,-57
8/19/2015 21:30,USD,Medium,Crude Oil Inventories,2.6M,-1.7M,58,41,36
8/20/2015 13:00,EUR,Low,German PPI m/m,0.00%,-0.10%,185,-19,-19
8/20/2015 19:30,USD,High,Unemployment Claims,277K,273K,185,-23,-23
8/20/2015 21:00,USD,High,Existing Home Sales,5.59M,5.48M,185,69,53
8/20/2015 21:00,USD,High,Philly Fed Manufacturing Index,8.3,5.7,185,69,53
8/20/2015 21:00,USD,Low,CB Leading Index m/m,-0.20%,0.60%,185,69,53
8/20/2015 21:30,USD,Low,Natural Gas Storage,53B,65B,185,-30,-26
8/21/2015 13:00,EUR,Low,German GfK Consumer Climate,9.9,10.1,194,-19,-14
8/21/2015 14:00,EUR,High,French Flash Manufacturing PMI,48.6,49.6,194,-38,-31
8/21/2015 14:00,EUR,Medium,French Flash Services PMI,51.8,52,194,-38,-31
