Timestamp,Date,Reverse_Range,Range,Status
2020-03-09 08:17,Mon,0,85,Fail
2020-03-09 08:51,Mon,27,78,Success
2020-03-09 19:30,Mon,0,78,Fail
2020-03-09 20:42,Mon,21,75,Success
2020-03-11 22:56,Wed,16,77,Success
2020-03-12 21:11,Thu,23,87,Success
2020-03-19 16:34,Thu,0,78,Fail
2020-03-19 18:01,Thu,15,75,Success
2020-03-20 16:54,Fri,16,79,Success
2020-03-23 22:03,Mon,0,77,Fail
2020-04-01 15:41,Wed,10,77,Success
2020-04-30 21:09,Thu,0,80,Fail
2020-04-30 21:19,Thu,0,77,Fail
2020-04-30 22:04,Thu,27,90,Success
2020-05-01 22:39,Mon,0,79,Fail
2020-05-04 13:27,Mon,11,77,Success
2020-05-08 09:13,Fri,7,74,Success
2020-05-27 16:19,Wed,0,77,Fail
2020-05-27 17:05,Wed,9,76,Success
2020-05-28 19:01,Fri,0,77,Fail
2020-05-29 02:18,Fri,9,75,Success
2020-06-04 22:09,Thu,9,75,Success
2020-06-09 21:35,Tue,18,85,Success
2020-06-11 01:21,Thu,13,76,Success
2020-06-12 20:44,Fri,0,80,Fail
2020-06-12 22:05,Fri,9,75,Success
2020-07-21 20:27,Tue,0,78,Fail
2020-07-21 20:53,Wed,0,81,Fail
2020-07-27 10:42,Mon,14,81,Success
2020-08-07 21:11,Fri,8,75,Success
2020-08-27 20:25,Thu,0,86,Fail
2020-11-03 02:33,Tue,0,77,Fail
2020-11-03 05:06,Tue,0,79,Fail
2020-11-05 15:44,Thu,0,77,Fail
2020-11-05 16:31,Thu,0,78,Fail
2020-11-05 20:18,Thu,12,79,Success
2020-11-23 21:48,Mon,0,78,Fail
2020-11-24 17:35,Tue,9,76,Success
