Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Aug 1 2021,All Day,AUD,Holiday,Bank Holiday,,,
,6:30pm,AUD,Low,AIG Manufacturing Index,60.8,,63.2
,8:30pm,JPY,Low,Final Manufacturing PMI,53.0,52.4,52.2
,9:00pm,AUD,Low,MI Inflation Gauge m/m,0.5%,,0.4%
,9:30pm,AUD,Low,ANZ Job Advertisements m/m,-0.5%,,1.5%
,9:45pm,CNY,Low,Caixin Manufacturing PMI,50.3,51.1,51.3
Mon Aug 2 2021,12:59am,JPY,Low,Consumer Confidence,37.5,37.0,37.4
,2:00am,EUR,Low,German Retail Sales m/m,4.2%,1.9%,4.6%
,2:30am,CHF,Low,CPI m/m,-0.1%,-0.1%,0.1%
,,CHF,Low,Retail Sales y/y,0.1%,3.4%,2.8%
,3:15am,EUR,Low,Spanish Manufacturing PMI,59.0,59.4,60.4
,3:30am,CHF,Low,Manufacturing PMI,71.1,66.0,66.7
,3:45am,EUR,Low,Italian Manufacturing PMI,60.3,61.4,62.2
,3:50am,EUR,Low,French Final Manufacturing PMI,58.0,58.1,58.1
,3:55am,EUR,Medium,German Final Manufacturing PMI,65.9,65.6,65.6
,4:00am,EUR,Low,Final Manufacturing PMI,62.8,62.6,62.6
,4:30am,GBP,Low,Final Manufacturing PMI,60.4,60.4,60.4
,All Day,CAD,Holiday,Bank Holiday,,,
,9:45am,USD,Low,Final Manufacturing PMI,63.4,63.1,63.1
,10:00am,USD,High,ISM Manufacturing PMI,59.5,60.8,60.6
,,USD,Low,Construction Spending m/m,0.1%,0.4%,-0.2%
,,USD,Low,ISM Manufacturing Prices,85.7,87.9,92.1
,2:00pm,USD,Low,Loan Officer Survey,,,
,7:30pm,JPY,Low,Tokyo Core CPI y/y,0.1%,0.0%,0.0%
,7:50pm,JPY,Low,Monetary Base y/y,15.4%,20.5%,19.1%
,9:30pm,AUD,Low,Building Approvals m/m,-6.7%,-3.8%,-7.6%
,11:35pm,JPY,Low,10-y Bond Auction,0.01|3.3,,0.06|3.5
Tue Aug 3 2021,12:30am,AUD,High,RBA Rate Statement,,,
,,AUD,Medium,Cash Rate,0.10%,0.10%,0.10%
,2:30am,AUD,Low,Commodity Prices y/y,59.9%,,50.1%
,3:00am,CHF,Low,SECO Consumer Climate,8,-5,-7
,,EUR,Medium,Spanish Unemployment Change,-197.8K,-115.5K,-166.9K
,5:00am,EUR,Low,PPI m/m,1.4%,1.4%,1.3%
,5:02am,GBP,Low,30-y Bond Auction,0.97|2.4,,1.27|2.2
,9:30am,CAD,Low,Manufacturing PMI,56.2,,56.5
,10:00am,USD,Low,Factory Orders m/m,1.5%,1.0%,2.3%
,10:01am,USD,Low,IBD/TIPP Economic Optimism,53.6,55.3,54.3
,All Day,USD,Low,Wards Total Vehicle Sales,14.8M,15.2M,15.4M
,11:11am,NZD,Low,GDT Price Index,-1.0%,,-2.9%
,2:00pm,USD,Low,FOMC Member Bowman Speaks,,,
,6:30pm,AUD,Low,AIG Construction Index,48.7,,55.5
,6:45pm,NZD,High,Employment Change q/q,1.0%,0.7%,0.6%
,,NZD,High,Unemployment Rate,4.0%,4.4%,4.6%
,,NZD,Low,Labor Cost Index q/q,0.9%,0.7%,0.4%
,9:00pm,NZD,Low,ANZ Commodity Prices m/m,-1.4%,,0.8%
,9:30pm,AUD,Medium,Retail Sales m/m,-1.8%,-1.8%,-1.8%
,9:45pm,CNY,Low,Caixin Services PMI,54.9,50.6,50.3
Wed Aug 4 2021,3:15am,EUR,Low,Spanish Services PMI,61.9,63.1,62.5
,3:45am,EUR,Low,Italian Services PMI,58.0,58.8,56.7
,3:50am,EUR,Low,French Final Services PMI,56.8,57.0,57.0
,3:55am,EUR,Low,German Final Services PMI,61.8,62.2,62.2
,4:00am,EUR,Low,Final Services PMI,59.8,60.4,60.4
,,EUR,Low,Italian Retail Sales m/m,0.7%,1.9%,-0.1%
,4:29am,EUR,Low,French Gov Budget Balance,-131.3B,,-118.8B
,4:30am,GBP,Low,Final Services PMI,59.6,57.8,57.8
,5:00am,EUR,Low,Retail Sales m/m,1.5%,1.6%,4.1%
,8:15am,USD,High,ADP Non-Farm Employment Change,330K,695K,680K
,8:30am,CAD,Low,Building Permits m/m,6.9%,6.0%,-12.9%
,9:45am,USD,Low,Final Services PMI,59.9,59.8,59.8
,10:00am,USD,High,ISM Services PMI,64.1,60.5,60.1
,,USD,Low,FOMC Member Clarida Speaks,,,
,10:30am,USD,Medium,Crude Oil Inventories,3.6M,-3.2M,-4.1M
,9:30pm,AUD,Low,Trade Balance,10.50B,10.55B,9.27B
Thu Aug 5 2021,2:00am,EUR,Low,German Factory Orders m/m,4.1%,2.1%,-3.2%
,2:45am,EUR,Low,French Industrial Production m/m,0.5%,0.5%,-0.4%
,4:00am,EUR,Low,ECB Economic Bulletin,,,
,4:30am,GBP,Low,Construction PMI,58.7,64.5,66.3
,4:51am,EUR,Low,Spanish 10-y Bond Auction,0.20|1.3,,0.35|1.8
,4:57am,EUR,Low,French 10-y Bond Auction,-0.23|1.8,,0.13|2.1
,7:00am,GBP,High,Asset Purchase Facility,875B,875B,875B
,,GBP,High,BOE Monetary Policy Report,,,
