Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Dec 1 2019,4:30pm,AUD,Low,AIG Manufacturing Index,48.1,,51.6
,4:45pm,NZD,Low,Overseas Trade Index q/q,1.9%,1.1%,1.4%
,6:50pm,JPY,Low,Capital Spending q/y,7.1%,5.1%,1.9%
,7:00pm,AUD,Low,MI Inflation Gauge m/m,0.0%,,0.1%
,7:30pm,AUD,High,Building Approvals m/m,-8.1%,-1.0%,7.2%
,,AUD,Medium,Company Operating Profits q/q,-0.8%,1.0%,4.8%
,,AUD,Low,ANZ Job Advertisements m/m,-1.7%,,-1.0%
,,JPY,Low,Final Manufacturing PMI,48.9,48.6,48.6
,8:45pm,CNY,High,Caixin Manufacturing PMI,51.8,51.5,51.7
Mon Dec 2 2019,12:30am,AUD,Low,Commodity Prices y/y,-5.0%,,-1.0%
,2:30am,CHF,Low,Retail Sales y/y,0.7%,0.8%,1.6%
,3:15am,EUR,Medium,Spanish Manufacturing PMI,47.5,46.5,46.8
,3:30am,CHF,Low,Manufacturing PMI,48.8,48.8,49.4
,3:45am,EUR,Low,Italian Manufacturing PMI,47.6,47.5,47.7
,3:50am,EUR,Low,French Final Manufacturing PMI,51.7,51.6,51.6
,3:55am,EUR,Low,German Final Manufacturing PMI,44.1,43.8,43.8
,4:00am,EUR,Low,Final Manufacturing PMI,46.9,46.6,46.6
,4:30am,GBP,Medium,Final Manufacturing PMI,48.9,48.3,48.3
,9:00am,EUR,High,ECB President Lagarde Speaks,,,
,9:30am,CAD,Low,Manufacturing PMI,51.4,,51.2
,9:45am,USD,Low,Final Manufacturing PMI,52.6,52.2,52.2
,10:00am,USD,High,ISM Manufacturing PMI,48.1,49.2,48.3
,,USD,Low,Construction Spending m/m,-0.8%,0.3%,-0.3%
,,USD,Low,ISM Manufacturing Prices,46.7,47.0,45.5
,6:50pm,JPY,Low,Monetary Base y/y,3.3%,3.4%,3.1%
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,-4.9%,-0.4%,0.1%
,7:30pm,AUD,Medium,Current Account,7.9B,6.1B,4.7B
,10:30pm,AUD,High,Cash Rate,0.75%,0.75%,0.75%
,,AUD,High,RBA Rate Statement,,,
,10:35pm,JPY,Low,10-y Bond Auction,-0.04|3.3,,-0.10|3.6
Tue Dec 3 2019,2:30am,CHF,Low,CPI m/m,-0.1%,-0.1%,-0.2%
,2:45am,EUR,Low,French Gov Budget Balance,-107.7B,,-109.0B
,3:00am,EUR,Low,Spanish Unemployment Change,20.5K,75.2K,97.9K
,4:30am,GBP,Low,Construction PMI,45.3,44.5,44.2
,5:00am,EUR,Low,PPI m/m,0.1%,0.0%,0.1%
,5:36am,GBP,Low,10-y Bond Auction,0.74|2.2,,0.74|2.6
,All Day,USD,Low,Wards Total Vehicle Sales,17.1M,16.8M,16.6M
,9:34am,NZD,Low,GDT Price Index,-0.5%,,1.7%
,4:30pm,AUD,Low,AIG Services Index,53.7,,54.2
,7:00pm,NZD,Low,ANZ Commodity Prices m/m,4.3%,,1.2%
,7:30pm,AUD,High,GDP q/q,0.4%,0.5%,0.6%
,8:45pm,CNY,Medium,Caixin Services PMI,53.5,51.2,51.1
Wed Dec 4 2019,3:15am,EUR,Low,Spanish Services PMI,53.2,51.9,52.7
,3:45am,EUR,Low,Italian Services PMI,50.4,51.2,52.2
,3:50am,EUR,Low,French Final Services PMI,52.2,52.9,52.9
,3:55am,EUR,Low,German Final Services PMI,51.7,51.3,51.3
,4:00am,EUR,Low,Final Services PMI,51.9,51.5,51.5
,4:30am,GBP,Medium,Final Services PMI,49.3,48.6,48.6
,All Day,EUR,Low,Eurogroup Meetings,,,
,5:34am,EUR,Low,German 10-y Bond Auction,-0.33|1.9,,-0.29|2.0
,8:15am,USD,High,ADP Non-Farm Employment Change,67K,137K,121K
