Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Dec 9 2018,4:35pm,AUD,Medium,RBA Assist Gov Kent Speaks,,,
,4:45pm,NZD,Low,Manufacturing Sales q/q,2.0%,,1.8%
,6:50pm,JPY,Low,Bank Lending y/y,2.1%,2.2%,2.2%
,,JPY,Low,Current Account,1.21T,1.29T,1.33T
,,JPY,Low,Final GDP q/q,-0.6%,-0.5%,-0.3%
,6:53pm,JPY,Low,Final GDP Price Index y/y,-0.3%,-0.3%,-0.3%
,7:30pm,AUD,Low,Home Loans m/m,2.2%,-0.5%,-1.0%
Mon Dec 10 2018,12:02am,JPY,Low,Economy Watchers Sentiment,51.0,49.5,49.5
,1:30am,CAD,Medium,Gov Council Member Lane Speaks,,,
,,GBP,Medium,MPC Member Cunliffe Speaks,,,
,1:45am,CHF,Low,Unemployment Rate,2.4%,2.5%,2.5%
,2:00am,EUR,Low,German Trade Balance,17.3B,17.2B,17.7B
,4:00am,EUR,Low,Italian Industrial Production m/m,0.1%,-0.4%,-0.1%
,4:30am,EUR,Low,Sentix Investor Confidence,-0.3,8.4,8.8
,,GBP,High,GDP m/m,0.1%,0.1%,0.0%
,,GBP,High,Manufacturing Production m/m,-0.9%,0.0%,0.2%
,,GBP,Low,Construction Output m/m,-0.2%,-0.4%,1.7%
,,GBP,Low,Goods Trade Balance,-11.9B,-10.5B,-10.7B
,,GBP,Low,Index of Services 3m/3m,0.3%,0.3%,0.4%
,,GBP,Low,Industrial Production m/m,-0.6%,-0.4%,0.0%
,7:45am,CAD,Medium,Gov Council Member Lane Speaks,,,
,8:13am,CAD,Low,Housing Starts,216K,198K,207K
,8:24am,GBP,Low,NIESR GDP Estimate,0.3%,,0.4%
,8:30am,CAD,Low,Building Permits m/m,-0.2%,-0.2%,0.4%
,10:00am,USD,Low,JOLTS Job Openings,7.08M,7.22M,6.96M
,10:30am,GBP,High,Prime Minister May Speaks,,,
,6:50pm,JPY,Low,BSI Manufacturing Index,5.5,4.3,6.5
,,JPY,Low,M2 Money Stock y/y,2.3%,2.6%,2.7%
,7:30pm,AUD,Medium,HPI q/q,-1.5%,-1.5%,-0.7%
,,AUD,Low,NAB Business Confidence,3,,5
,10:35pm,JPY,Low,30-y Bond Auction,0.79|3.8,,0.87|4.0
Tue Dec 11 2018,12:58am,JPY,Low,Prelim Machine Tool Orders y/y,-16.8%,,-0.7%
,1:30am,EUR,Low,French Final Private Payrolls q/q,0.1%,0.2%,0.2%
,4:01am,CNY,Low,M2 Money Supply y/y,8.0%,8.0%,8.0%
,,CNY,Low,New Loans,1250B,1200B,697B
,4:30am,GBP,High,Average Earnings Index 3m/y,3.3%,3.0%,3.1%
,,GBP,Medium,Unemployment Rate,4.1%,4.1%,4.1%
,,GBP,Low,Claimant Count Change,21.9K,13.2K,23.2K
,5:00am,EUR,Medium,German ZEW Economic Sentiment,-17.5,-25.0,-24.1
,,EUR,Low,ZEW Economic Sentiment,-21.0,-23.2,-22.0
,5:45am,USD,Low,NFIB Small Business Index,104.8,107.3,107.4
,8:30am,USD,High,PPI m/m,0.1%,0.0%,0.6%
,,USD,Medium,Core PPI m/m,0.3%,0.1%,0.5%
,2:15pm,NZD,High,RBNZ Gov Orr Speaks,,,
,6:27pm,AUD,Medium,Westpac Consumer Sentiment,0.1%,,2.8%
,6:50pm,JPY,Low,Core Machinery Orders m/m,7.6%,10.2%,-18.3%
,,JPY,Low,PPI y/y,2.3%,2.4%,3.0%
,11:30pm,JPY,Low,Tertiary Industry Activity m/m,1.9%,0.9%,-1.2%
Wed Dec 12 2018,4:00am,EUR,Low,Italian Quarterly Unemployment Rate,10.2%,10.3%,10.7%
