Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Feb 16 2020,4:45pm,NZD,Low,Visitor Arrivals m/m,1.0%,,-0.9%
,6:50pm,JPY,Low,Prelim GDP Price Index y/y,1.3%,1.1%,0.6%
,,JPY,Low,Prelim GDP q/q,-1.6%,-1.0%,0.4%
,7:01pm,GBP,Low,Rightmove HPI m/m,0.8%,,2.3%
,Dec Data,CNY,Low,Foreign Direct Investment ytd/y,5.8%,,6.0%
,9:14pm,CNY,Low,Foreign Direct Investment ytd/y,4.0%,,5.8%
,11:30pm,JPY,Low,Revised Industrial Production m/m,1.2%,1.3%,1.3%
Mon Feb 17 2020,All Day,EUR,Low,Eurogroup Meetings,,,
,6:00am,EUR,Low,German Buba Monthly Report,,,
,All Day,USD,Holiday,Bank Holiday,,,
,8:30am,CAD,Low,Foreign Securities Purchases,-9.57B,4.82B,-1.77B
,7:30pm,AUD,High,Monetary Policy Meeting Minutes,,,
Tue Feb 18 2020,4:30am,GBP,Medium,Average Earnings Index 3m/y,2.9%,3.1%,3.2%
,,GBP,Low,Claimant Count Change,5.5K,20.2K,2.6K
,,GBP,Low,Unemployment Rate,3.8%,3.8%,3.8%
,5:00am,EUR,High,German ZEW Economic Sentiment,8.7,20.0,26.7
,,EUR,Low,ZEW Economic Sentiment,10.4,21.3,25.6
,All Day,EUR,Low,ECOFIN Meetings,,,
,8:30am,CAD,Medium,Manufacturing Sales m/m,-0.7%,0.8%,-1.0%
,,USD,Low,Empire State Manufacturing Index,12.9,5.1,4.8
,9:54am,NZD,Low,GDT Price Index,-2.9%,,-4.7%
,10:00am,USD,Low,NAHB Housing Market Index,74,75,75
,10:30am,AUD,Low,CB Leading Index m/m,0.0%,,-0.3%
,2:00pm,USD,Low,FOMC Member Kashkari Speaks,,,
,4:00pm,USD,Low,TIC Long-Term Purchases,85.6B,31.4B,27.1B
,6:30pm,AUD,Low,MI Leading Index m/m,0.1%,,0.0%
,6:50pm,JPY,Low,Core Machinery Orders m/m,-12.5%,-9.0%,18.0%
,,JPY,Low,Trade Balance,-0.22T,-0.55T,-0.11T
,7:30pm,AUD,High,Wage Price Index q/q,0.5%,0.5%,0.5%
Wed Feb 19 2020,4:00am,EUR,Low,Current Account,32.6B,34.5B,32.4B
,4:30am,GBP,High,CPI y/y,1.8%,1.6%,1.3%
,,GBP,Medium,PPI Input m/m,0.9%,-0.5%,0.9%
,,GBP,Low,Core CPI y/y,1.6%,1.5%,1.4%
,,GBP,Low,HPI y/y,2.2%,2.3%,1.7%
,,GBP,Low,PPI Output m/m,0.3%,0.1%,0.0%
,,GBP,Low,RPI y/y,2.7%,2.5%,2.2%
,5:35am,EUR,Low,German 30-y Bond Auction,0.07|1.1,,0.31|1.1
,8:30am,CAD,High,CPI m/m,0.3%,0.2%,0.0%
,,CAD,Medium,Common CPI y/y,1.8%,2.0%,2.0%
,,CAD,Medium,Median CPI y/y,2.2%,2.2%,2.2%
