Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Feb 22 2015,6:50pm,JPY,Medium,Monetary Policy Meeting Minutes,,,
,All Day,CNY,Holiday,Bank Holiday,,,
,9:00pm,NZD,Low,Credit Card Spending y/y,6.2%,,4.5%
Mon Feb 23 2015,4:00am,EUR,High,German ifo Business Climate,106.8,107.4,106.7
,6:00am,GBP,Medium,CBI Realized Sales,1,42,39
,10:00am,USD,Medium,Existing Home Sales,4.82M,5.03M,5.07M
,6:50pm,JPY,Low,SPPI y/y,3.4%,3.6%,3.5%
,All Day,CNY,Holiday,Bank Holiday,,,
,9:00pm,NZD,Medium,Inflation Expectations q/q,1.80%,,2.06%
Tue Feb 24 2015,2:00am,EUR,Low,German Final GDP q/q,0.7%,0.7%,0.7%
,3:15am,CHF,Medium,Employment Level,4.23M,4.22M,4.23M
,4:10am,GBP,Medium,MPC Member Forbes Speaks,,,
,5:00am,EUR,Medium,Final CPI y/y,-0.6%,-0.6%,-0.6%
,,EUR,Low,Final Core CPI y/y,0.6%,0.6%,0.6%
,,GBP,High,Monetary Policy Report Hearings,,,
,All Day,EUR,High,Eurogroup Meetings,,,
,8:30am,CAD,Low,Corporate Profits q/q,-2.8%,,3.7%
,9:00am,EUR,High,ECB President Draghi Speaks,,,
,,EUR,Low,Belgian NBB Business Climate,-8.3,-8.4,-8.8
,,USD,Low,S&P/CS Composite-20 HPI y/y,4.5%,4.5%,4.3%
,9:45am,USD,Low,Flash Services PMI,57.0,54.5,54.2
,9:59am,USD,Low,Richmond Manufacturing Index,0,7,6
,10:00am,USD,High,CB Consumer Confidence,96.4,99.6,103.8
,,USD,High,Fed Chair Yellen Testifies,,,
,,USD,Low,Fed Monetary Policy Report,,,
,2:00pm,CAD,High,BOC Gov Poloz Speaks,,,
,6:40pm,NZD,High,RBNZ Gov Wheeler Speaks,,,
,7:30pm,AUD,Medium,Construction Work Done q/q,-0.2%,-1.2%,-2.8%
,,AUD,Medium,Wage Price Index q/q,0.6%,0.6%,0.6%
