Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jan 6 2019,4:30pm,AUD,Low,AIG Manufacturing Index,49.5,,51.3
,6:50pm,JPY,Low,Monetary Base y/y,4.8%,5.8%,6.1%
Mon Jan 7 2019,2:00am,EUR,Low,German Factory Orders m/m,-1.0%,-0.2%,0.2%
,,EUR,Low,German Retail Sales m/m,1.4%,0.4%,0.1%
,4:30am,EUR,Low,Sentix Investor Confidence,-1.5,-2.0,-0.3
,5:00am,EUR,Low,Retail Sales m/m,0.6%,0.2%,0.6%
,10:00am,CAD,Medium,Ivey PMI,59.7,58.1,57.2
,,USD,High,ISM Services PMI,57.6,59.6,60.7
,7:30pm,AUD,Medium,Trade Balance,1.93B,2.18B,2.01B
,,AUD,Low,ANZ Job Advertisements m/m,0.0%,,-0.4%
,10:35pm,JPY,Low,10-y Bond Auction,0.02|4.0,,0.07|3.8
Tue Jan 8 2019,12:07am,JPY,Low,Consumer Confidence,42.7,42.8,42.9
,1:45am,CHF,Low,Unemployment Rate,2.4%,2.4%,2.4%
,2:00am,EUR,Low,German Industrial Production m/m,-1.9%,0.3%,-0.8%
,2:30am,CHF,Low,Retail Sales y/y,-0.5%,-0.7%,1.0%
,2:45am,EUR,Low,French Trade Balance,-5.1B,-4.9B,-4.1B
,3:30am,GBP,Low,Halifax HPI m/m,2.2%,0.5%,-1.2%
,5:20am,USD,Low,NFIB Small Business Index,104.4,103.1,104.8
,5:37am,GBP,Low,10-y Bond Auction,1.27|2.2,,1.49|2.0
,8:30am,CAD,High,Trade Balance,-2.1B,-2.1B,-0.9B
,10:00am,USD,Low,JOLTS Job Openings,6.89M,7.07M,7.13M
,3:00pm,USD,Low,Consumer Credit m/m,22.1B,17.3B,25.0B
,4:30pm,AUD,Low,AIG Services Index,52.1,,55.1
,7:00pm,JPY,Medium,Average Cash Earnings y/y,2.0%,1.3%,1.5%
,,NZD,Low,ANZ Commodity Prices m/m,-0.2%,,-0.5%
,7:30pm,AUD,Medium,Building Approvals m/m,-9.1%,-0.3%,-1.5%
,9:00pm,USD,High,President Trump Speaks,,,
Wed Jan 9 2019,2:00am,EUR,Low,German Trade Balance,19.0B,17.9B,17.3B
,2:30am,CHF,Low,CPI m/m,-0.3%,-0.2%,-0.3%
,3:00am,CHF,Low,Foreign Currency Reserves,729B,,749B
,4:00am,EUR,Low,Italian Monthly Unemployment Rate,10.5%,10.5%,10.6%
,5:00am,EUR,Low,Unemployment Rate,7.9%,8.1%,8.0%
,5:32am,EUR,Low,German 10-y Bond Auction,0.29|1.6,,0.34|1.6
,8:13am,CAD,Low,Housing Starts,213K,207K,224K
,9:00am,USD,Medium,FOMC Member Evans Speaks,,,
,10:00am,CAD,High,BOC Monetary Policy Report,,,
,,CAD,High,BOC Rate Statement,,,
,,CAD,High,Overnight Rate,1.75%,1.75%,1.75%
,10:30am,GBP,High,BOE Gov Carney Speaks,,,
,,USD,Low,Crude Oil Inventories,-1.7M,-2.4M,0.0M
,11:15am,CAD,High,BOC Press Conference,,,
,11:30am,USD,Medium,FOMC Member Rosengren Speaks,,,
,1:01pm,USD,Low,10-y Bond Auction,2.73|2.5,,2.92|2.4
,2:00pm,USD,High,FOMC Meeting Minutes,,,
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,-0.7%,-0.3%,-0.5%
,8:30pm,CNY,Low,CPI y/y,1.9%,2.1%,2.2%
,,CNY,Low,PPI y/y,0.9%,1.6%,2.7%
,10:35pm,JPY,Low,30-y Bond Auction,0.72|4.0,,0.79|3.8
Thu Jan 10 2019,12:00am,JPY,Low,Leading Indicators,99.3%,99.5%,99.6%
,2:45am,EUR,Low,French Industrial Production m/m,-1.3%,0.0%,1.3%
,4:05am,EUR,Low,Italian Retail Sales m/m,0.7%,0.2%,0.2%
,5:01am,EUR,Low,French 10-y Bond Auction,0.68|1.7,,0.82|1.8
,Tentative,GBP,High,Monetary Policy Report Hearings,,,
,7:30am,EUR,Medium,ECB Monetary Policy Meeting Accounts,,,
,8:30am,CAD,Low,Building Permits m/m,2.6%,-0.5%,-0.4%
,,CAD,Low,NHPI m/m,0.0%,0.0%,0.0%
,,USD,Low,Unemployment Claims,216K,226K,233K
,10:30am,USD,Low,Natural Gas Storage,-91B,-62B,-20B
,12:40pm,USD,Medium,FOMC Member Bullard Speaks,,,
,12:45pm,USD,High,Fed Chair Powell Speaks,,,
,1:00pm,USD,Medium,FOMC Member Evans Speaks,,,
,1:01pm,USD,Low,30-y Bond Auction,3.04|2.2,,3.17|2.3
,4:30pm,AUD,Low,AIG Construction Index,42.6,,44.5
,4:45pm,NZD,Low,Building Consents m/m,-2.0%,,1.4%
,6:30pm,JPY,Low,Household Spending y/y,-0.6%,0.0%,-0.3%
,6:50pm,JPY,Low,Bank Lending y/y,2.4%,2.1%,2.1%
,,JPY,Low,Current Account,1.44T,1.10T,1.21T
,7:00pm,USD,Medium,FOMC Member Clarida Speaks,,,
,7:30pm,AUD,High,Retail Sales m/m,0.4%,0.3%,0.3%
Fri Jan 11 2019,12:03am,JPY,Low,Economy Watchers Sentiment,48.0,50.5,51.0
,4:00am,EUR,Low,Italian Industrial Production m/m,-1.6%,-0.3%,-0.1%
,4:30am,GBP,High,GDP m/m,0.2%,0.1%,0.1%
,,GBP,High,Manufacturing Production m/m,-0.3%,0.4%,-0.6%
,,GBP,Low,Construction Output m/m,0.6%,0.2%,0.0%
,,GBP,Low,Goods Trade Balance,-12.0B,-11.4B,-11.9B
,,GBP,Low,Index of Services 3m/3m,0.3%,0.2%,0.3%
,,GBP,Low,Industrial Production m/m,-0.4%,0.3%,-0.5%
,8:30am,USD,High,CPI m/m,-0.1%,-0.1%,0.0%
,,USD,High,Core CPI m/m,0.2%,0.2%,0.2%
,9:02am,GBP,Low,NIESR GDP Estimate,0.3%,,0.3%
Sat Jan 12 2019,,,No specified,,,,
