Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jul 22 2018,Day 2,All,Medium,G20 Meetings,,,
Mon Jul 23 2018,6:00am,EUR,Low,German Buba Monthly Report,,,
,8:30am,CAD,Low,Wholesale Sales m/m,1.2%,0.6%,-0.1%
,10:00am,EUR,Low,Consumer Confidence,-1,-1,-1
,,USD,Medium,Existing Home Sales,5.38M,5.46M,5.41M
,10:30am,AUD,Low,CB Leading Index m/m,0.1%,,0.1%
,1:00pm,GBP,Medium,MPC Member Broadbent Speaks,,,
,8:30pm,JPY,Low,Flash Manufacturing PMI,51.6,53.2,53.0
Tue Jul 24 2018,1:00am,JPY,Low,BOJ Core CPI y/y,0.4%,0.6%,0.5%
,3:00am,EUR,Medium,French Flash Manufacturing PMI,53.1,52.6,52.5
,,EUR,Medium,French Flash Services PMI,55.3,55.7,55.9
,3:30am,EUR,Medium,German Flash Manufacturing PMI,57.3,55.5,55.9
,,EUR,Medium,German Flash Services PMI,54.4,54.6,54.5
,4:00am,EUR,Medium,Flash Manufacturing PMI,55.1,54.7,54.9
,,EUR,Medium,Flash Services PMI,54.4,55.0,55.2
,6:00am,GBP,Low,CBI Industrial Order Expectations,11,8,13
,9:00am,USD,Low,HPI m/m,0.2%,0.4%,0.2%
,9:45am,USD,Low,Flash Manufacturing PMI,55.5,55.1,55.4
,,USD,Low,Flash Services PMI,56.2,56.5,56.5
,9:59am,USD,Low,Richmond Manufacturing Index,20,18,20
,6:45pm,NZD,Medium,Trade Balance,-113M,200M,208M
,9:30pm,AUD,High,CPI q/q,0.4%,0.5%,0.4%
,,AUD,High,Trimmed Mean CPI q/q,0.5%,0.5%,0.6%
Wed Jul 25 2018,4:00am,CHF,Low,Credit Suisse Economic Expectations,-4.0,,8.0
,,EUR,Medium,M3 Money Supply y/y,4.4%,4.0%,4.0%
,,EUR,Medium,German ifo Business Climate,101.7,101.6,101.8
,,EUR,Low,Private Loans y/y,2.9%,3.0%,2.9%
,4:30am,GBP,Low,High Street Lending,40.5K,39.1K,39.5K
,6:00am,GBP,Low,CBI Realized Sales,20,16,32
,8:59am,EUR,Low,Belgian NBB Business Climate,-1.3,0.4,0.6
,10:00am,USD,Low,New Home Sales,631K,669K,666K
,10:30am,USD,High,Crude Oil Inventories,-6.1M,-2.6M,5.8M
,7:50pm,JPY,Low,SPPI y/y,1.2%,1.0%,1.0%
,9:30pm,AUD,Low,Import Prices q/q,3.2%,1.9%,2.0%
Thu Jul 26 2018,2:00am,EUR,Low,German GfK Consumer Climate,10.6,10.7,10.7
,3:00am,EUR,Medium,Spanish Unemployment Rate,15.3%,15.8%,16.7%
,7:45am,EUR,High,Main Refinancing Rate,0.00%,0.00%,0.00%
,,EUR,High,Monetary Policy Statement,,,
,8:30am,EUR,High,ECB Press Conference,,,
,,USD,High,Core Durable Goods Orders m/m,0.4%,0.5%,0.0%
,,USD,Medium,Durable Goods Orders m/m,1.0%,3.0%,-0.4%
,,USD,Medium,Unemployment Claims,217K,215K,208K
,,USD,Low,Goods Trade Balance,-68.3B,-67.0B,-64.8B
,,USD,Low,Prelim Wholesale Inventories m/m,0.0%,0.5%,0.6%
,9:00am,CNY,Low,CB Leading Index m/m,0.8%,,2.2%
,10:30am,USD,Low,Natural Gas Storage,24B,39B,46B
,7:30pm,JPY,Low,Tokyo Core CPI y/y,0.8%,0.7%,0.7%
,9:30pm,AUD,Low,PPI q/q,0.3%,0.5%,0.5%
Fri Jul 27 2018,1:30am,EUR,Low,French Flash GDP q/q,0.2%,0.3%,0.2%
,2:00am,EUR,Low,German Import Prices m/m,0.5%,0.3%,1.6%
,2:45am,EUR,Low,French Consumer Spending m/m,0.1%,0.6%,1.0%
,8:30am,USD,High,Advance GDP q/q,4.1%,4.2%,2.0%
,,USD,Medium,Advance GDP Price Index q/q,3.0%,2.3%,2.2%
,9:30am,USD,High,President Trump Speaks,,,
,10:00am,USD,Medium,Revised UoM Consumer Sentiment,97.9,97.1,97.1
,,USD,Low,Revised UoM Inflation Expectations,2.9%,,2.9%
Sat Jul 28 2018,,,No specified,,,,
