Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jun 26 2016,All Day,EUR,High,Spanish Parliamentary Election,,,
,6:45pm,NZD,Medium,Trade Balance,358M,185M,326M
Mon Jun 27 2016,4:00am,EUR,Medium,M3 Money Supply y/y,4.9%,4.8%,4.6%
,,EUR,Low,Private Loans y/y,1.6%,1.6%,1.5%
,8:30am,USD,Low,Goods Trade Balance,-60.6B,-59.5B,-57.5B
,9:45am,USD,Low,Flash Services PMI,51.3,52.0,51.3
Tue Jun 28 2016,2:00am,EUR,Low,German Import Prices m/m,0.9%,0.6%,-0.1%
,6:00am,GBP,Low,CBI Realized Sales,4,9,7
,Day 1,EUR,High,EU Economic Summit,,,
,8:30am,USD,High,Final GDP q/q,1.1%,1.0%,0.8%
,,USD,Low,Final GDP Price Index q/q,0.4%,0.6%,0.6%
,9:00am,USD,Low,S&P/CS Composite-20 HPI y/y,5.4%,5.5%,5.5%
,9:59am,USD,Low,Richmond Manufacturing Index,-7,2,-1
,10:00am,USD,High,CB Consumer Confidence,98.0,93.2,92.4
,12:00pm,CHF,Medium,Gov Board Member Zurbrugg Speaks,,,
,7:00pm,USD,High,FOMC Member Powell Speaks,,,
,7:50pm,JPY,Medium,Retail Sales y/y,-1.9%,-1.6%,-0.9%
,9:00pm,AUD,Low,HIA New Home Sales m/m,-4.4%,,-4.7%
,10:00pm,NZD,Medium,RBNZ Statement of Intent,,,
Wed Jun 29 2016,2:00am,CHF,Low,UBS Consumption Indicator,1.35,,1.24
,,EUR,Low,German GfK Consumer Climate,10.1,9.8,9.8
,,GBP,Low,Nationwide HPI m/m,0.2%,0.1%,0.2%
,All Day,EUR,Holiday,Italian Bank Holiday,,,
,All Day,EUR,Medium,German Prelim CPI m/m,0.1%,0.1%,0.3%
,3:00am,EUR,Medium,Spanish Flash CPI y/y,-0.8%,-1.0%,-1.0%
,4:30am,GBP,Medium,Net Lending to Individuals m/m,4.3B,2.9B,1.6B
,,GBP,Low,M4 Money Supply m/m,1.2%,0.1%,-0.1%
,,GBP,Low,Mortgage Approvals,67K,65K,66K
,Day 2,EUR,High,EU Economic Summit,,,
,8:30am,USD,Medium,Core PCE Price Index m/m,0.2%,0.2%,0.2%
,,USD,Medium,Personal Spending m/m,0.4%,0.4%,1.1%
,,USD,Low,Personal Income m/m,0.2%,0.3%,0.5%
,10:00am,USD,Medium,Pending Home Sales m/m,-3.7%,-0.9%,3.9%
,10:30am,USD,High,Crude Oil Inventories,-4.1M,-2.3M,-0.9M
,4:30pm,USD,Medium,Bank Stress Test Results,,,
,6:45pm,NZD,Low,Building Consents m/m,-0.9%,,6.8%
,7:05pm,GBP,Low,GfK Consumer Confidence,-1,-2,-1
,7:50pm,JPY,Low,Prelim Industrial Production m/m,-2.3%,-0.1%,0.5%
,9:00pm,NZD,Medium,ANZ Business Confidence,20.2,,11.3
,9:30pm,AUD,Low,Private Sector Credit m/m,0.4%,0.5%,0.5%
Thu Jun 30 2016,1:06am,JPY,Low,Housing Starts y/y,9.8%,4.9%,9.0%
,2:00am,EUR,Medium,German Retail Sales m/m,0.9%,0.7%,-0.3%
,2:45am,EUR,Low,French Consumer Spending m/m,-0.7%,-0.1%,-0.1%
,,EUR,Low,French Prelim CPI m/m,0.2%,0.2%,0.4%
,3:00am,CHF,Medium,KOF Economic Barometer,102.4,102.7,101.8
,3:55am,EUR,Medium,German Unemployment Change,-6K,-5K,-11K
,4:30am,GBP,High,Current Account,-32.6B,-27.3B,-34.0B
,,GBP,High,Final GDP q/q,0.4%,0.4%,0.4%
,,GBP,Low,Index of Services 3m/3m,0.5%,0.4%,0.6%
,,GBP,Low,Revised Business Investment q/q,-0.6%,-0.4%,-0.5%
,5:00am,EUR,Medium,CPI Flash Estimate y/y,0.1%,0.0%,-0.1%
,,EUR,Medium,Core CPI Flash Estimate y/y,0.9%,0.8%,0.8%
,,EUR,Low,Italian Prelim CPI m/m,0.1%,0.2%,0.3%
,5:22am,EUR,Low,Italian 10-y Bond Auction,1.35|1.5,,1.42|1.4
,8:30am,CAD,High,GDP m/m,0.1%,0.1%,-0.2%
,,CAD,Medium,RMPI m/m,6.7%,4.9%,0.7%
,,CAD,Low,IPPI m/m,1.1%,0.4%,-0.5%
,,USD,High,Unemployment Claims,268K,267K,258K
,9:45am,USD,Medium,Chicago PMI,56.8,50.6,49.3
,10:30am,USD,Low,Natural Gas Storage,37B,48B,62B
,11:00am,GBP,High,BOE Gov Carney Speaks,,,
,1:30pm,USD,High,FOMC Member Bullard Speaks,,,
,7:30pm,AUD,Low,AIG Manufacturing Index,51.8,,51.0
,,JPY,Medium,Household Spending y/y,-1.1%,-1.3%,-0.4%
,,JPY,Medium,Tokyo Core CPI y/y,-0.5%,-0.5%,-0.5%
,,JPY,Low,National Core CPI y/y,-0.4%,-0.4%,-0.3%
,,JPY,Low,Unemployment Rate,3.2%,3.2%,3.2%
,7:50pm,JPY,Medium,Tankan Manufacturing Index,6,4,6
,,JPY,Medium,Tankan Non-Manufacturing Index,19,19,22
,9:00pm,CNY,High,Manufacturing PMI,50.0,50.0,50.1
,,CNY,Medium,Non-Manufacturing PMI,53.7,,53.1
,9:45pm,CNY,High,Caixin Manufacturing PMI,48.6,49.1,49.2
,10:00pm,JPY,Low,Final Manufacturing PMI,48.1,47.9,47.8
Fri Jul 1 2016,1:00am,JPY,Low,BOJ Core CPI y/y,0.8%,0.8%,0.9%
,,JPY,Low,Consumer Confidence,41.8,41.1,40.9
,2:30am,AUD,Low,Commodity Prices y/y,-9.9%,,-9.1%
,3:15am,CHF,Low,Retail Sales y/y,-1.6%,-1.7%,-2.2%
,,EUR,Medium,Spanish Manufacturing PMI,52.2,52.1,51.8
,3:30am,CHF,Low,Manufacturing PMI,51.6,54.9,55.8
,3:45am,EUR,Low,Italian Manufacturing PMI,53.5,52.7,52.4
,3:50am,EUR,Low,French Final Manufacturing PMI,48.3,47.9,47.9
,3:55am,EUR,Low,German Final Manufacturing PMI,54.5,54.5,54.4
,4:00am,EUR,Low,Final Manufacturing PMI,52.8,52.6,52.6
,,EUR,Low,Italian Monthly Unemployment Rate,11.5%,11.7%,11.6%
,4:30am,GBP,High,Final Manufacturing PMI,52.1,50.0,50.4
,5:00am,EUR,Low,Unemployment Rate,10.1%,10.1%,10.2%
,All Day,CAD,Holiday,Bank Holiday,,,
,9:45am,USD,Low,Final Manufacturing PMI,51.3,51.4,51.4
,10:00am,USD,High,ISM Manufacturing PMI,53.2,51.3,51.3
,,USD,Low,Construction Spending m/m,-0.8%,0.6%,-2.0%
,,USD,Low,ISM Manufacturing Prices,60.5,63.9,63.5
,All Day,USD,Low,Wards Total Vehicle Sales,16.6M,17.2M,17.2M
,All Day,USD,Low,Total Vehicle Sales,16.7M,17.3M,17.4M
,All Day,AUD,Medium,Parliamentary Elections,,,
Sat Jul 2 2016,,,No specified,,,,
