Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun May 3 2015,All Day,JPY,Holiday,Bank Holiday,,,
,8:30pm,AUD,Low,MI Inflation Gauge m/m,0.3%,,0.4%
,9:00pm,NZD,Low,ANZ Commodity Prices m/m,-7.4%,,4.6%
,9:30pm,AUD,High,Building Approvals m/m,2.8%,-1.7%,-1.6%
,,AUD,Medium,ANZ Job Advertisements m/m,2.3%,,-1.3%
,9:45pm,CNY,High,Caixin Manufacturing PMI,48.9,49.4,49.2
Mon May 4 2015,All Day,GBP,Holiday,Bank Holiday,,,
,3:15am,EUR,Medium,Spanish Manufacturing PMI,54.2,54.6,54.3
,3:30am,CHF,Low,Manufacturing PMI,47.9,48.2,47.9
,3:45am,EUR,Medium,Italian Manufacturing PMI,53.8,53.4,53.3
,3:50am,EUR,Low,French Final Manufacturing PMI,48.0,48.4,48.4
,3:55am,EUR,Medium,German Final Manufacturing PMI,52.1,51.9,51.9
,4:00am,EUR,Low,Final Manufacturing PMI,52.0,51.9,51.9
,4:30am,EUR,Low,Sentix Investor Confidence,19.6,19.5,20.0
,10:00am,USD,Medium,Factory Orders m/m,2.1%,2.1%,-0.1%
,12:25pm,USD,Medium,FOMC Member Evans Speaks,,,
,2:00pm,USD,Low,Loan Officer Survey,,,
,7:13pm,AUD,Low,AIG Services Index,49.7,,50.2
,All Day,JPY,Holiday,Bank Holiday,,,
,9:30pm,AUD,High,Trade Balance,-1.32B,-0.98B,-1.61B
Tue May 5 2015,12:30am,AUD,High,Cash Rate,2.00%,2.00%,2.25%
,,AUD,High,RBA Rate Statement,,,
,2:45am,EUR,Low,French Gov Budget Balance,-26.3B,,-23.4B
,3:00am,EUR,High,Spanish Unemployment Change,-118.9K,-64.8K,-60.2K
,4:30am,GBP,High,Construction PMI,54.2,57.6,57.8
,5:00am,EUR,Medium,EU Economic Forecasts,,,
,,EUR,Low,PPI m/m,0.2%,0.3%,0.6%
,8:30am,CAD,High,Trade Balance,-3.0B,-0.8B,-2.2B
,,USD,High,Trade Balance,-51.4B,-41.2B,-35.9B
,9:45am,USD,Low,Final Services PMI,57.4,57.8,57.8
,10:00am,USD,High,ISM Services PMI,57.8,56.2,56.5
,,USD,Low,IBD/TIPP Economic Optimism,49.7,50.6,51.3
,10:20am,NZD,High,GDT Price Index,-3.5%,,-3.6%
,12:45pm,CAD,Medium,Gov Council Member Wilkins Speaks,,,
,6:45pm,NZD,High,Employment Change q/q,0.7%,0.8%,1.2%
,,NZD,High,Unemployment Rate,5.8%,5.5%,5.8%
,,NZD,Low,Labor Cost Index q/q,0.3%,0.4%,0.5%
,7:00pm,GBP,Low,BRC Shop Price Index y/y,-1.9%,,-2.1%
,All Day,JPY,Holiday,Bank Holiday,,,
,9:00pm,AUD,Low,HIA New Home Sales m/m,4.4%,,1.1%
,9:30pm,AUD,High,Retail Sales m/m,0.3%,0.4%,0.7%
,9:45pm,CNY,Medium,Caixin Services PMI,52.9,53.1,52.3
Wed May 6 2015,3:15am,EUR,Medium,Spanish Services PMI,60.3,57.4,57.3
,3:45am,EUR,Medium,Italian Services PMI,53.1,52.1,51.6
,3:50am,EUR,Low,French Final Services PMI,51.4,50.8,50.8
,3:55am,EUR,Medium,German Final Services PMI,54.0,54.4,54.4
,4:00am,EUR,Low,Final Services PMI,54.1,53.7,53.7
,4:30am,GBP,High,Final Services PMI,59.5,58.6,58.9
,5:00am,EUR,Medium,Retail Sales m/m,-0.8%,-0.4%,0.1%
,8:15am,USD,High,ADP Non-Farm Employment Change,169K,199K,175K
,8:30am,USD,High,Prelim Unit Labor Costs q/q,5.0%,4.5%,4.1%
