Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Nov 22 2015,6:00am,EUR,Medium,German Buba President Weidmann Speaks,,,
,4:45pm,NZD,Low,Visitor Arrivals m/m,0.2%,,4.4%
,All Day,JPY,Holiday,Bank Holiday,,,
Mon Nov 23 2015,3:00am,EUR,High,French Flash Manufacturing PMI,50.8,50.7,50.6
,,EUR,Medium,French Flash Services PMI,51.3,52.1,52.7
,3:30am,EUR,High,German Flash Manufacturing PMI,52.6,52.2,52.1
,,EUR,Medium,German Flash Services PMI,55.6,54.3,54.5
,4:00am,EUR,Medium,Flash Manufacturing PMI,52.8,52.3,52.3
,,EUR,Medium,Flash Services PMI,54.6,54.2,54.1
,All Day,EUR,Medium,Eurogroup Meetings,,,
,9:45am,USD,Low,Flash Manufacturing PMI,52.6,54.0,54.1
,10:00am,USD,Medium,Existing Home Sales,5.36M,5.39M,5.55M
,8:35pm,JPY,Low,Flash Manufacturing PMI,52.8,52.1,52.4
Tue Nov 24 2015,2:00am,EUR,Low,German Final GDP q/q,0.3%,0.3%,0.3%
,4:00am,EUR,High,German ifo Business Climate,109.0,108.3,108.2
,4:05am,AUD,High,RBA Gov Stevens Speaks,,,
,5:00am,GBP,High,Monetary Policy Report Hearings,,,
,6:00am,GBP,Low,CBI Realized Sales,7,25,19
,8:30am,USD,High,Prelim GDP q/q,2.1%,2.0%,1.5%
,,USD,Medium,Goods Trade Balance,-58.4B,-61.8B,-59.1B
,,USD,Low,Prelim GDP Price Index q/q,1.3%,1.2%,1.2%
,9:00am,EUR,Low,Belgian NBB Business Climate,-3.9,-3.2,-4.0
,,USD,Low,S&P/CS Composite-20 HPI y/y,5.5%,5.2%,5.1%
,9:59am,USD,Low,Richmond Manufacturing Index,-3,0,-1
,10:00am,USD,High,CB Consumer Confidence,90.4,99.3,99.1
,5:35pm,CAD,Low,Gov Council Member Patterson Speaks,,,
,6:50pm,JPY,Medium,Monetary Policy Meeting Minutes,,,
,,JPY,Low,SPPI y/y,0.5%,0.6%,0.5%
,7:30pm,AUD,Medium,Construction Work Done q/q,-3.6%,-1.8%,2.1%
Wed Nov 25 2015,2:00am,CHF,Low,UBS Consumption Indicator,1.60,,1.56
,4:30am,GBP,Low,High Street Lending,45.4K,45.5K,44.8K
,5:00am,EUR,Low,ECB Financial Stability Review,,,
,,EUR,Low,Italian Retail Sales m/m,-0.1%,0.5%,0.2%
,5:20am,AUD,Medium,RBA Deputy Gov Debelle Speaks,,,
,5:35am,EUR,Low,German 10-y Bond Auction,0.49|1.1,,0.44|1.2
,7:30am,GBP,Medium,Autumn Forecast Statement,,,
,8:30am,USD,High,Core Durable Goods Orders m/m,0.5%,0.5%,-0.3%
,,USD,High,Unemployment Claims,260K,273K,272K
,,USD,Medium,Core PCE Price Index m/m,0.0%,0.1%,0.2%
,,USD,Medium,Durable Goods Orders m/m,3.0%,1.6%,-0.8%
,,USD,Medium,Personal Spending m/m,0.1%,0.3%,0.1%
,,USD,Low,Personal Income m/m,0.4%,0.4%,0.2%
,9:00am,USD,Low,HPI m/m,0.8%,0.5%,0.3%
,9:45am,USD,Low,Flash Services PMI,56.5,55.2,54.8
,10:00am,USD,Medium,New Home Sales,495K,500K,447K
,,USD,Medium,Revised UoM Consumer Sentiment,91.3,93.2,93.1
,,USD,Low,Revised UoM Inflation Expectations,2.7%,,2.5%
,10:30am,USD,Medium,Crude Oil Inventories,1.0M,1.2M,0.3M
,12:00pm,USD,Low,Natural Gas Storage,9B,5B,15B
,4:45pm,NZD,High,Trade Balance,-963M,-1000M,-1140M
,7:30pm,AUD,High,Private Capital Expenditure q/q,-9.2%,-2.8%,-4.4%
Thu Nov 26 2015,4:00am,EUR,Medium,M3 Money Supply y/y,5.3%,4.9%,4.9%
,,EUR,Low,Private Loans y/y,1.2%,1.2%,1.1%
,All Day,USD,Holiday,Bank Holiday,,,
,8:30am,CAD,Low,Corporate Profits q/q,-5.4%,,12.9%
,6:30pm,JPY,Medium,Household Spending y/y,-2.4%,0.0%,-0.4%
,,JPY,Medium,Tokyo Core CPI y/y,0.0%,-0.1%,-0.2%
,,JPY,Low,National Core CPI y/y,-0.1%,-0.1%,-0.1%
,,JPY,Low,Unemployment Rate,3.1%,3.4%,3.4%
,6:39pm,GBP,Low,GfK Consumer Confidence,1,2,2
Fri Nov 27 2015,12:00am,JPY,Low,BOJ Core CPI y/y,1.2%,,1.2%
,2:00am,EUR,Low,German Import Prices m/m,-0.3%,-0.1%,-0.7%
,,GBP,Low,Nationwide HPI m/m,0.1%,0.5%,0.5%
,2:45am,EUR,Low,French Consumer Spending m/m,-0.7%,0.2%,0.1%
,3:00am,EUR,Medium,Spanish Flash CPI y/y,-0.3%,-0.5%,-0.7%
,4:30am,GBP,High,Second Estimate GDP q/q,0.5%,0.5%,0.5%
,,GBP,Medium,Prelim Business Investment q/q,2.2%,1.5%,1.6%
,,GBP,Low,Index of Services 3m/3m,0.7%,0.8%,0.9%
,5:23am,EUR,Low,Italian 10-y Bond Auction,1.36|1.7,,1.48|1.7
,7:00am,EUR,Low,German GfK Consumer Climate,9.3,9.2,9.4
,8:30am,CAD,Medium,RMPI m/m,0.4%,0.4%,2.4%
,,CAD,Low,IPPI m/m,-0.5%,-0.1%,-0.4%
Sat Nov 28 2015,,,No specified,,,,
