Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Oct 11 2015,Day 3,All,Low,IMF Meetings,,,
,All Day,JPY,Holiday,Bank Holiday,,,
Mon Oct 12 2015,5:26am,CNY,Low,Foreign Direct Investment ytd/y,9.0%,,9.2%
,All Day,CAD,Holiday,Bank Holiday,,,
,All Day,USD,Holiday,Bank Holiday,,,
,8:10am,USD,Medium,FOMC Member Lockhart Speaks,,,
,9:00am,GBP,Medium,MPC Member Weale Speaks,,,
,9:30am,GBP,Low,CB Leading Index m/m,0.2%,,-0.2%
,10:30am,USD,Medium,FOMC Member Evans Speaks,,,
,1:20pm,CAD,High,BOC Gov Poloz Speaks,,,
,4:30pm,USD,Medium,FOMC Member Brainard Speaks,,,
,5:40pm,AUD,Medium,RBA Deputy Gov Lowe Speaks,,,
,5:45pm,NZD,Low,FPI m/m,-0.5%,,-0.5%
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,2.6%,,-1.0%
,7:50pm,JPY,Medium,Monetary Policy Meeting Minutes,,,
,,JPY,Low,Bank Lending y/y,2.6%,,2.7%
,8:30pm,AUD,High,NAB Business Confidence,5,,1
,10:00pm,CNY,High,Trade Balance,376B,292B,368B
,11:08pm,CNY,Low,USD-Denominated Trade Balance,60.3B,46.9B,60.2B
Tue Oct 13 2015,1:00am,JPY,Low,Consumer Confidence,40.6,41.6,41.7
,1:58am,JPY,Low,Prelim Machine Tool Orders y/y,-19.1%,,-16.5%
,2:00am,EUR,Low,German Final CPI m/m,-0.2%,-0.2%,-0.2%
,,EUR,Low,German WPI m/m,-0.6%,-0.3%,-0.8%
,3:15am,CHF,Medium,PPI m/m,-0.1%,-0.1%,-0.7%
,4:30am,GBP,High,CPI y/y,-0.1%,0.0%,0.0%
,,GBP,Medium,BOE Credit Conditions Survey,,,
,,GBP,Medium,PPI Input m/m,0.6%,0.2%,-3.0%
,,GBP,Medium,RPI y/y,0.8%,1.0%,1.1%
,,GBP,Low,Core CPI y/y,1.0%,1.1%,1.0%
,,GBP,Low,ONS HPI y/y,5.2%,5.5%,5.2%
,,GBP,Low,PPI Output m/m,-0.1%,-0.2%,-0.5%
,5:00am,EUR,High,German ZEW Economic Sentiment,1.9,6.8,12.1
,,EUR,Medium,ZEW Economic Sentiment,30.1,30.1,33.3
,,GBP,Medium,MPC Member Vlieghe Speaks,,,
,6:00am,GBP,Medium,MPC Member McCafferty Speaks,,,
,,USD,Low,NFIB Small Business Index,96.1,95.6,95.9
