Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Sep 8 2019,6:45pm,NZD,Low,Manufacturing Sales q/q,-0.7%,,0.8%
,7:50pm,JPY,Low,Bank Lending y/y,2.1%,2.3%,2.3%
,,JPY,Low,Current Account,1.65T,1.70T,1.94T
,,JPY,Low,Final GDP q/q,0.3%,0.3%,0.4%
,7:54pm,JPY,Low,Final GDP Price Index y/y,0.4%,0.4%,0.4%
,9:30pm,AUD,Low,Home Loans m/m,5.0%,0.5%,-0.8%
Mon Sep 9 2019,1:00am,JPY,Low,Economy Watchers Sentiment,42.8,41.4,41.2
,1:45am,CHF,Low,Unemployment Rate,2.3%,2.3%,2.3%
,2:00am,EUR,Low,German Trade Balance,20.2B,18.8B,18.0B
,4:30am,EUR,Low,Sentix Investor Confidence,-11.1,-13.0,-13.7
,,GBP,High,GDP m/m,0.3%,0.1%,0.0%
,,GBP,High,Manufacturing Production m/m,0.3%,-0.3%,-0.2%
,,GBP,Low,Construction Output m/m,0.5%,0.2%,-0.7%
,,GBP,Low,Goods Trade Balance,-9.1B,-9.6B,-8.9B
,,GBP,Low,Index of Services 3m/3m,0.2%,0.1%,0.1%
,,GBP,Low,Industrial Production m/m,0.1%,-0.3%,-0.1%
,7:45am,GBP,Low,NIESR GDP Estimate,0.1%,,0.0%
,3:00pm,USD,Low,Consumer Credit m/m,23.3B,16.2B,13.8B
,7:50pm,JPY,Low,M2 Money Stock y/y,2.4%,2.4%,2.3%
,9:30pm,AUD,Medium,NAB Business Confidence,1,,4
,,CNY,Medium,CPI y/y,2.8%,2.6%,2.8%
,,CNY,Low,PPI y/y,-0.8%,-0.9%,-0.3%
Tue Sep 10 2019,1:30am,EUR,Low,French Final Private Payrolls q/q,0.2%,0.3%,0.3%
,1:58am,JPY,Low,Prelim Machine Tool Orders y/y,-37.1%,,-33.0%
,2:45am,EUR,Low,French Industrial Production m/m,0.3%,0.5%,-2.3%
,4:00am,EUR,Low,Italian Industrial Production m/m,-0.7%,-0.1%,-0.3%
,4:30am,GBP,Medium,Average Earnings Index 3m/y,4.0%,3.7%,3.8%
