Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Sep 11 2016,7:50pm,JPY,Low,Core Machinery Orders m/m,4.9%,-2.8%,8.3%
,,JPY,Low,PPI y/y,-3.6%,-3.5%,-3.9%
Mon Sep 12 2016,1:58am,JPY,Low,Prelim Machine Tool Orders y/y,-8.4%,,-19.7%
,4:00am,EUR,Low,Italian Quarterly Unemployment Rate,11.5%,11.5%,11.6%
,9:30am,GBP,Low,CB Leading Index m/m,0.0%,,-0.3%
,1:01pm,USD,Low,10-y Bond Auction,1.70|2.4,,1.50|2.4
,1:15pm,USD,Medium,FOMC Member Brainard Speaks,,,
,6:30pm,AUD,Medium,RBA Assist Gov Kent Speaks,,,
,6:45pm,NZD,Low,FPI m/m,1.3%,,-0.2%
,7:50pm,JPY,Medium,BSI Manufacturing Index,2.9,-6.5,-11.1
,9:30pm,AUD,Medium,NAB Business Confidence,6,,4
,10:00pm,CNY,High,Industrial Production y/y,6.3%,6.2%,6.0%
,,CNY,Medium,Fixed Asset Investment ytd/y,8.1%,7.9%,8.1%
,,CNY,Low,Retail Sales y/y,10.6%,10.2%,10.2%
Tue Sep 13 2016,2:00am,EUR,Low,German Final CPI m/m,0.0%,0.0%,0.0%
,,EUR,Low,German WPI m/m,-0.7%,0.1%,0.2%
,3:15am,CHF,Medium,PPI m/m,-0.3%,-0.2%,-0.1%
,3:59am,CNY,Low,Foreign Direct Investment ytd/y,4.5%,,4.3%
,4:00am,EUR,Low,Italian Industrial Production m/m,0.4%,0.2%,-0.3%
,4:30am,GBP,High,CPI y/y,0.6%,0.7%,0.6%
,,GBP,Medium,PPI Input m/m,0.2%,0.6%,3.1%
,,GBP,Medium,RPI y/y,1.8%,1.8%,1.9%
,,GBP,Low,Core CPI y/y,1.3%,1.4%,1.3%
,,GBP,Low,HPI y/y,8.3%,8.5%,9.7%
,,GBP,Low,PPI Output m/m,0.1%,0.3%,0.3%
,5:00am,EUR,High,German ZEW Economic Sentiment,0.5,2.8,0.5
,,EUR,Medium,ZEW Economic Sentiment,5.4,6.7,4.6
,,EUR,Low,Final Employment Change q/q,0.4%,0.2%,0.4%
,6:00am,USD,Low,NFIB Small Business Index,94.4,94.9,94.6
,6:45am,EUR,High,ECB President Draghi Speaks,,,
,1:01pm,USD,Low,30-y Bond Auction,2.48|2.1,,2.27|2.2
,2:00pm,USD,Low,Federal Budget Balance,-107.1B,-98.0B,-112.8B
,6:45pm,NZD,Medium,Current Account,-0.95B,-0.30B,1.18B
,8:30pm,AUD,Low,Westpac Consumer Sentiment,0.3%,,2.0%
Wed Sep 14 2016,12:33am,JPY,Low,Revised Industrial Production m/m,-0.4%,0.0%,0.0%
,2:45am,EUR,Low,French Final CPI m/m,0.3%,0.3%,0.3%
,4:00am,CNY,Low,M2 Money Supply y/y,11.4%,10.5%,10.2%
,,CNY,Low,New Loans,949B,725B,464B
,4:30am,GBP,High,Average Earnings Index 3m/y,2.3%,2.1%,2.5%
,,GBP,High,Claimant Count Change,2.4K,1.7K,-3.6K
,,GBP,Medium,Unemployment Rate,4.9%,4.9%,4.9%
,5:00am,CHF,Low,Credit Suisse Economic Expectations,2.7,,-2.8
,,EUR,Low,Industrial Production m/m,-1.1%,-0.8%,0.8%
,5:33am,EUR,Low,German 30-y Bond Auction,0.62|1.7,,0.45|1.5
,5:50am,AUD,Medium,RBA Deputy Gov Debelle Speaks,,,
