Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15,SignEffectDay,SignEffect60,SignEffect30,SignEffect15
1/4/2021 14:15,EUR,Low,Spanish Manufacturing PMI,51,52.6,49.8,83,14,8,8,0,0,0,0
1/4/2021 14:45,EUR,Low,Italian Manufacturing PMI,52.8,53.5,51.5,83,29,14,12,0,0,0,1
1/4/2021 14:50,EUR,Low,French Final Manufacturing PMI,51.1,51.1,51.1,83,29,17,13,0,0,0,0
1/4/2021 14:55,EUR,Low,German Final Manufacturing PMI,58.3,58.6,58.6,83,29,17,14,0,0,0,0
1/4/2021 15:00,EUR,Low,Final Manufacturing PMI,55.2,55.5,55.5,83,24,12,9,0,0,0,0
1/4/2021 20:45,USD,Low,Final Manufacturing PMI,57.1,56.3,56.5,83,20,12,12,0,0,0,0
1/4/2021 21:00,USD,Low,Construction Spending m/m,0.90%,1.10%,1.60%,83,26,16,10,0,1,0,1
1/5/2021 13:00,EUR,Low,German Retail Sales m/m,1.90%,-2.00%,2.60%,55,8,6,6,0,1,1,1
1/5/2021 14:00,EUR,Low,Spanish Unemployment Change,36.8K,30.5K,25.3K,55,16,10,9,0,1,0,1
1/5/2021 14:55,EUR,Low,German Unemployment Change,-37K,10K,-40K,55,23,23,12,0,0,0,0
1/5/2021 15:00,EUR,Low,M3 Money Supply y/y,11.00%,10.60%,10.50%,55,20,20,14,0,0,0,0
1/5/2021 15:00,EUR,Low,Private Loans y/y,3.10%,3.30%,3.20%,55,20,20,14,0,0,0,0
1/5/2021 21:00,USD,Medium,ISM Manufacturing PMI,60.7,56.6,57.5,55,19,12,9,0,0,0,0
1/5/2021 21:00,USD,Low,ISM Manufacturing Prices,77.6,66,65.4,55,19,12,9,0,0,0,0
1/5/2021 21:00,USD,Low,Wards Total Vehicle Sales,16.3M,15.8M,15.6M,55,19,12,9,0,0,0,0
1/6/2021 23:00,EUR,Low,German Prelim CPI m/m,0.50%,0.60%,-0.80%,84,27,18,16,1,0,0,1
1/6/2021 13:45,EUR,Low,French Prelim CPI m/m,0.20%,0.40%,0.20%,84,36,25,12,1,0,0,0
1/6/2021 14:15,EUR,Low,Spanish Services PMI,48,44.5,39.5,84,25,25,14,1,1,0,1
1/6/2021 14:45,EUR,Low,Italian Services PMI,39.7,45,39.4,84,21,14,8,1,1,1,0
1/6/2021 14:50,EUR,Low,French Final Services PMI,49.1,49.2,49.2,84,21,16,11,1,1,1,1
1/6/2021 14:55,EUR,Low,German Final Services PMI,47,47.7,47.7,84,18,18,11,1,1,1,1
1/6/2021 15:00,EUR,Low,Final Services PMI,46.4,47.4,47.3,84,18,18,11,1,1,1,1
1/6/2021 16:00,EUR,Low,PPI m/m,0.40%,0.20%,0.40%,84,18,17,16,1,0,0,0
1/6/2021 19:15,USD,Medium,ADP Non-Farm Employment Change,-123K,60K,304K,84,19,13,6,1,1,1,1
1/6/2021 20:45,USD,Low,Final Services PMI,54.8,55.2,55.3,84,44,43,20,1,1,1,1
1/6/2021 21:00,USD,Low,Factory Orders m/m,1.00%,0.70%,1.30%,84,28,27,27,1,1,1,1
1/6/2021 21:30,USD,Low,Crude Oil Inventories,-8.0M,-2.8M,-6.1M,84,28,28,18,1,0,0,0
1/7/2021 13:00,EUR,Low,German Factory Orders m/m,2.30%,-0.60%,3.30%,99,18,12,6,1,0,0,0
1/7/2021 16:00,EUR,Low,CPI Flash Estimate y/y,-0.30%,-0.20%,-0.30%,99,31,14,10,1,1,1,1
1/7/2021 16:00,EUR,Low,Core CPI Flash Estimate y/y,0.20%,0.20%,0.20%,99,31,14,10,1,1,1,1
1/7/2021 16:00,EUR,Low,Italian Prelim CPI m/m,0.30%,0.20%,-0.10%,99,31,14,10,1,1,1,1
1/7/2021 16:00,EUR,Low,Retail Sales m/m,-6.10%,-3.40%,1.40%,99,31,14,10,1,1,1,1
1/7/2021 19:30,USD,Medium,Unemployment Claims,787K,798K,790K,99,15,10,7,1,0,0,0
1/7/2021 19:30,USD,Low,Trade Balance,-68.1B,-66.7B,-63.1B,99,15,10,7,1,0,0,0
1/7/2021 21:00,USD,Medium,ISM Services PMI,57.2,54.5,55.9,99,29,17,16,1,1,0,0
1/7/2021 21:30,USD,Low,Natural Gas Storage,-130B,-142B,-114B,99,30,23,23,1,1,1,1
1/8/2021 13:00,EUR,Low,German Industrial Production m/m,0.90%,0.70%,3.40%,71,10,9,6,1,0,0,0
1/8/2021 13:00,EUR,Low,German Trade Balance,16.4B,18.5B,18.2B,71,10,9,6,1,0,0,0
1/8/2021 13:45,EUR,Low,French Consumer Spending m/m,-18.90%,-15.80%,3.90%,71,23,10,6,1,1,1,1
1/8/2021 13:45,EUR,Low,French Industrial Production m/m,-0.90%,-1.00%,1.90%,71,23,10,6,1,1,1,1
1/8/2021 13:45,EUR,Low,French Trade Balance,-3.6B,-4.9B,-4.6B,71,23,10,6,1,1,1,1
1/8/2021 16:00,EUR,Low,Italian Monthly Unemployment Rate,8.90%,10.00%,9.50%,71,23,16,13,1,0,0,0
1/8/2021 16:00,EUR,Low,Unemployment Rate,8.30%,8.50%,8.40%,71,23,16,13,1,0,0,0
1/8/2021 19:30,USD,High,Average Hourly Earnings m/m,0.80%,0.20%,0.30%,71,9,7,6,1,0,1,1
1/8/2021 19:30,USD,High,Non-Farm Employment Change,-140K,60K,336K,71,9,7,6,1,0,1,1
1/8/2021 19:30,USD,High,Unemployment Rate,6.70%,6.80%,6.70%,71,9,7,6,1,0,1,1
1/8/2021 21:00,USD,Low,Final Wholesale Inventories m/m,0.00%,-0.10%,-0.10%,71,40,25,15,1,1,0,1
1/9/2021 2:00,USD,Low,Consumer Credit m/m,15.3B,9.0B,4.5B,60,22,16,16,1,0,0,0
1/11/2021 15:30,EUR,Low,Sentix Investor Confidence,1.3,2,-2.7,90,21,16,9,1,1,1,0
1/12/2021 15:00,EUR,Low,Italian Retail Sales m/m,-6.90%,-4.50%,0.50%,42,16,15,13,1,1,1,1
1/12/2021 17:00,USD,Low,NFIB Small Business Index,95.9,100.1,101.4,42,22,14,13,1,1,1,1
1/12/2021 21:00,USD,Low,JOLTS Job Openings,6.53M,6.42M,6.63M,42,21,20,12,1,0,0,0
1/12/2021 21:02,USD,Low,IBD/TIPP Economic Optimism,50.1,50.1,49,42,21,20,15,1,0,0,0
1/13/2021 13:00,EUR,Low,German WPI m/m,0.60%,0.10%,0.10%,71,9,9,7,1,0,0,0
1/13/2021 15:00,EUR,Low,Italian Industrial Production m/m,-1.40%,-0.40%,1.40%,71,22,13,13,1,1,1,0
1/13/2021 16:00,EUR,Low,Industrial Production m/m,2.50%,0.20%,2.30%,71,10,10,10,1,1,1,1
1/13/2021 19:30,USD,Medium,CPI m/m,0.40%,0.40%,0.20%,71,13,8,6,1,0,0,0
1/13/2021 19:30,USD,Medium,Core CPI m/m,0.10%,0.10%,0.20%,71,13,8,6,1,0,0,0
1/13/2021 21:30,USD,Low,Crude Oil Inventories,-3.2M,-3.2M,-8.0M,71,27,18,16,1,0,0,0
1/14/2021 1:00,USD,Low,Federal Budget Balance,-143.6B,-144.5B,-145.3B,64,14,9,9,1,1,1,0
1/14/2021 19:30,USD,Low,Import Prices m/m,0.90%,0.70%,0.20%,64,38,24,10,1,1,1,0
1/14/2021 19:30,USD,Low,Unemployment Claims,965K,785K,784K,64,38,24,10,1,1,1,0
1/14/2021 21:30,USD,Low,Natural Gas Storage,-134B,-129B,-130B,64,14,12,9,1,1,1,1
1/15/2021 13:45,EUR,Low,French Final CPI m/m,0.20%,0.20%,0.20%,97,13,10,4,1,0,0,0
1/15/2021 16:00,EUR,Low,Trade Balance,25.1B,22.3B,25.2B,97,13,13,13,1,0,0,0
1/15/2021 19:30,USD,High,Core Retail Sales m/m,-1.40%,-0.10%,-1.30%,97,13,10,8,1,0,0,1
1/15/2021 19:30,USD,High,Retail Sales m/m,-0.70%,0.00%,-1.40%,97,13,10,8,1,0,0,1
1/15/2021 19:30,USD,Low,Core PPI m/m,0.10%,0.10%,0.10%,97,13,10,8,1,0,0,1
1/15/2021 19:30,USD,Low,Empire State Manufacturing Index,3.5,5.7,4.9,97,13,10,8,1,0,0,1
1/15/2021 19:30,USD,Low,PPI m/m,0.30%,0.40%,0.10%,97,13,10,8,1,0,0,1
1/15/2021 20:15,USD,Low,Capacity Utilization Rate,74.50%,73.40%,73.40%,97,27,11,4,1,1,0,0
1/15/2021 20:15,USD,Low,Industrial Production m/m,1.60%,0.50%,0.50%,97,27,11,4,1,1,0,0
1/15/2021 21:00,USD,Low,Business Inventories m/m,0.50%,0.50%,0.80%,97,24,12,11,1,1,1,1
1/15/2021 21:00,USD,Low,Prelim UoM Consumer Sentiment,79.2,79.5,80.7,97,24,12,11,1,1,1,1
1/19/2021 13:00,EUR,Low,German Final CPI m/m,0.50%,0.50%,0.50%,74,5,4,4,0,0,1,1
1/19/2021 15:00,EUR,Low,Current Account,24.6B,28.2B,25.6B,74,15,15,15,0,0,0,0
1/19/2021 15:00,EUR,Low,Italian Trade Balance,6.77B,6.23B,7.58B,74,15,15,15,0,0,0,0
1/19/2021 16:00,EUR,Low,ZEW Economic Sentiment,58.3,54.1,54.4,74,20,11,7,0,0,0,1
1/19/2021 16:00,EUR,Low,German ZEW Economic Sentiment,61.8,55.1,55,74,20,11,7,0,0,0,1
1/20/2021 3:00,USD,Low,TIC Long-Term Purchases,149.2B,45.4B,51.9B,81,5,4,3,1,0,1,0
1/20/2021 13:00,EUR,Low,German PPI m/m,0.80%,0.30%,0.20%,81,15,4,4,1,0,1,1
1/20/2021 16:00,EUR,Low,Final CPI y/y,-0.30%,-0.30%,-0.30%,81,19,14,14,1,1,1,1
1/20/2021 16:00,EUR,Low,Final Core CPI y/y,0.20%,0.20%,0.20%,81,19,14,14,1,1,1,1
1/20/2021 21:00,USD,Low,NAHB Housing Market Index,83,86,86,81,37,18,11,1,1,1,1
1/21/2021 18:45,EUR,Medium,Main Refinancing Rate,0.00%,0.00%,0.00%,74,10,7,5,0,0,0,1
1/21/2021 19:30,USD,Medium,Philly Fed Manufacturing Index,26.5,11.2,11.1,74,24,12,6,0,0,1,1
1/21/2021 19:30,USD,Medium,Unemployment Claims,900K,930K,926K,74,24,12,6,0,0,1,1
1/21/2021 19:30,USD,Low,Building Permits,1.71M,1.60M,1.64M,74,24,12,6,0,0,1,1
1/21/2021 19:30,USD,Low,Housing Starts,1.67M,1.56M,1.58M,74,24,12,6,0,0,1,1
1/21/2021 20:30,EUR,Low,Consumer Confidence,-16,-15,-14,74,33,22,19,0,1,1,0
1/22/2021 14:15,EUR,High,French Flash Services PMI,46.5,48.3,49.1,54,8,7,7,0,0,1,1
1/22/2021 14:15,EUR,Medium,French Flash Manufacturing PMI,51.5,50.6,51.1,54,8,7,7,0,0,1,1
1/22/2021 14:30,EUR,High,German Flash Manufacturing PMI,57,57.3,58.3,54,9,7,3,0,0,0,0
1/22/2021 14:30,EUR,High,German Flash Services PMI,46.8,45.1,47,54,9,7,3,0,0,0,0
1/22/2021 15:00,EUR,Medium,Flash Manufacturing PMI,54.7,54.5,55.2,54,32,9,6,0,0,0,0
1/22/2021 15:00,EUR,Medium,Flash Services PMI,45,44.4,46.4,54,32,9,6,0,0,0,0
1/22/2021 20:45,USD,Medium,Flash Manufacturing PMI,59.1,56.6,57.1,54,16,16,6,0,1,1,0
1/22/2021 20:45,USD,Low,Flash Services PMI,57.5,53.3,54.8,54,16,16,6,0,1,1,0
1/22/2021 21:00,USD,Low,Existing Home Sales,6.76M,6.55M,6.71M,54,20,13,13,0,0,1,1
1/22/2021 21:30,USD,Low,Natural Gas Storage,-187B,-162B,-134B,54,30,20,10,0,0,0,0
1/22/2021 22:00,USD,Low,Crude Oil Inventories,4.4M,-1.2M,-3.2M,54,23,12,11,0,1,0,0
1/25/2021 15:00,EUR,Low,German ifo Business Climate,90.1,91.5,92.2,67,11,11,7,1,1,1,1
1/25/2021 20:00,EUR,Low,Belgian NBB Business Climate,-7.5,-8,-8.4,67,10,3,3,1,1,1,1
1/26/2021 20:00,USD,Low,HPI m/m,1.00%,0.90%,1.50%,68,21,7,6,0,0,1,1
1/26/2021 20:00,USD,Low,S&P/CS Composite-20 HPI y/y,9.10%,8.80%,8.00%,68,21,7,6,0,0,1,1
1/26/2021 20:59,USD,Low,Richmond Manufacturing Index,14,18,19,68,10,8,8,0,0,0,0
1/26/2021 21:00,USD,Medium,CB Consumer Confidence,89.3,88.9,87.1,68,10,7,7,0,0,0,0
1/27/2021 13:00,EUR,Low,German GfK Consumer Climate,-15.6,-7.8,-7.5,111,7,5,5,1,1,1,1
1/27/2021 19:30,USD,Low,Core Durable Goods Orders m/m,0.70%,0.50%,0.40%,111,15,14,10,1,0,1,1
1/27/2021 19:30,USD,Low,Durable Goods Orders m/m,0.20%,1.00%,1.00%,111,15,14,10,1,0,1,1
1/27/2021 21:30,USD,Low,Crude Oil Inventories,-9.9M,1.6M,4.4M,111,47,47,45,1,1,1,1
1/28/2021 1:00,USD,Medium,Federal Funds Rate,<0.25%,<0.25%,<0.25%,61,10,8,7,0,0,1,1
1/28/2021 13:00,EUR,Low,German Prelim CPI m/m,0.80%,0.40%,0.50%,61,12,12,12,0,0,1,1
1/28/2021 14:00,EUR,Low,Spanish Unemployment Rate,16.10%,16.70%,16.30%,61,23,20,16,0,1,1,1
1/28/2021 19:30,USD,High,Advance GDP q/q,4.00%,4.20%,33.40%,61,23,13,11,0,1,1,1
1/28/2021 19:30,USD,Medium,Unemployment Claims,847K,880K,914K,61,23,13,11,0,1,1,1
1/28/2021 19:30,USD,Low,Goods Trade Balance,-82.5B,-83.4B,-85.5B,61,23,13,11,0,1,1,1
1/28/2021 19:30,USD,Low,Prelim Wholesale Inventories m/m,0.10%,0.50%,0.00%,61,23,13,11,0,1,1,1
1/28/2021 19:32,USD,Medium,Advance GDP Price Index q/q,2.00%,2.20%,3.50%,61,19,9,8,0,1,1,1
1/28/2021 21:00,USD,Medium,CB Leading Index m/m,0.30%,0.30%,0.70%,61,20,20,16,0,1,1,1
1/28/2021 21:00,USD,Low,New Home Sales,842K,860K,829K,61,20,20,16,0,1,1,1
1/28/2021 21:30,USD,Low,Natural Gas Storage,-128B,-140B,-187B,61,18,14,13,0,0,0,0
1/29/2021 12:30,EUR,Low,French Consumer Spending m/m,23.00%,24.00%,-18.00%,61,9,7,5,0,0,0,1
1/29/2021 12:30,EUR,Low,French Flash GDP q/q,-1.30%,-4.00%,18.70%,61,9,7,5,0,0,0,1
1/29/2021 13:00,EUR,Low,German Import Prices m/m,0.60%,1.00%,0.50%,61,9,5,4,0,0,0,1
1/29/2021 14:00,EUR,Low,Spanish Flash CPI y/y,0.60%,-0.50%,-0.50%,61,9,9,4,0,1,1,1
1/29/2021 14:00,EUR,Low,Spanish Flash GDP q/q,0.40%,-1.40%,16.40%,61,9,9,4,0,1,1,1
1/29/2021 14:55,EUR,Low,German Unemployment Change,-41K,7K,-40K,61,17,16,9,0,0,0,1
1/29/2021 15:00,EUR,Medium,German Prelim GDP q/q,0.10%,0.00%,8.50%,61,22,16,9,0,0,0,0
1/29/2021 15:00,EUR,Low,M3 Money Supply y/y,12.30%,11.00%,11.00%,61,22,16,9,0,0,0,0
1/29/2021 15:00,EUR,Low,Private Loans y/y,3.10%,3.20%,3.10%,61,22,16,9,0,0,0,0
1/29/2021 19:30,USD,Low,Core PCE Price Index m/m,0.30%,0.10%,0.00%,61,22,15,9,0,1,1,1
1/29/2021 19:30,USD,Low,Employment Cost Index q/q,0.70%,0.50%,0.50%,61,22,15,9,0,1,1,1
1/29/2021 19:30,USD,Low,Personal Income m/m,0.60%,0.10%,-1.30%,61,22,15,9,0,1,1,1
1/29/2021 19:30,USD,Low,Personal Spending m/m,-0.20%,-0.40%,-0.70%,61,22,15,9,0,1,1,1
1/29/2021 20:45,USD,Low,Chicago PMI,63.8,58.4,59.5,61,15,11,7,0,1,0,1
1/29/2021 21:00,USD,Low,Pending Home Sales m/m,-0.30%,-0.50%,-2.50%,61,16,10,10,0,1,1,0
1/29/2021 21:00,USD,Low,Revised UoM Consumer Sentiment,79,79.2,79.2,61,16,10,10,0,1,1,0
2/1/2021 13:00,EUR,Low,German Retail Sales m/m,-9.60%,-2.00%,1.10%,68,5,4,4,1,1,0,0
2/1/2021 14:15,EUR,Low,Spanish Manufacturing PMI,49.3,50.2,51,68,12,7,5,1,0,0,0
2/1/2021 14:45,EUR,Low,Italian Manufacturing PMI,55.1,52.5,52.8,68,23,12,5,1,1,0,0
2/1/2021 14:50,EUR,Low,French Final Manufacturing PMI,51.6,51.5,51.5,68,28,13,11,1,1,1,1
2/1/2021 14:55,EUR,Low,German Final Manufacturing PMI,57.1,57,57,68,33,13,11,1,1,1,1
2/1/2021 15:00,EUR,Low,Final Manufacturing PMI,54.8,54.7,54.7,68,43,18,12,1,1,1,0
2/1/2021 15:00,EUR,Low,Italian Monthly Unemployment Rate,9.00%,9.00%,8.80%,68,43,18,12,1,1,1,0
2/1/2021 16:00,EUR,Low,Unemployment Rate,8.30%,8.30%,8.30%,68,21,18,12,1,0,0,0
2/1/2021 20:45,USD,Low,Final Manufacturing PMI,59.2,59.1,59.1,68,16,9,9,1,0,0,0
2/1/2021 21:00,USD,High,ISM Manufacturing PMI,58.7,60,60.7,68,16,15,9,1,0,0,0
2/1/2021 21:00,USD,Low,Construction Spending m/m,1.00%,0.80%,1.10%,68,16,15,9,1,0,0,0
2/1/2021 21:00,USD,Low,ISM Manufacturing Prices,82.1,72,77.6,68,16,15,9,1,0,0,0
2/2/2021 13:45,EUR,Low,French Prelim CPI m/m,0.20%,0.00%,0.20%,69,12,6,2,1,0,1,1
2/2/2021 14:00,EUR,Low,Spanish Unemployment Change,76.2K,35.3K,36.8K,69,12,7,5,1,1,1,1
2/2/2021 15:00,EUR,Low,Italian Prelim GDP q/q,-2.00%,-2.00%,15.90%,69,20,16,7,1,0,0,0
2/2/2021 16:00,EUR,Low,Prelim Flash GDP q/q,-0.70%,-0.90%,12.50%,69,23,12,8,1,1,1,1
2/2/2021 21:00,USD,Low,IBD/TIPP Economic Optimism,51.9,51,50.1,69,29,9,9,1,1,1,1
2/2/2021 21:00,USD,Low,Wards Total Vehicle Sales,16.6M,16.1M,16.3M,69,29,9,9,1,1,1,1
2/3/2021 14:15,EUR,Low,Spanish Services PMI,41.7,45.1,48,46,14,9,6,0,0,1,1
2/3/2021 14:45,EUR,Low,Italian Services PMI,44.7,39.5,39.7,46,14,14,10,0,0,0,0
2/3/2021 14:50,EUR,Low,French Final Services PMI,47.3,46.5,46.5,46,14,14,14,0,0,0,0
2/3/2021 14:55,EUR,Low,German Final Services PMI,46.7,46.8,46.8,46,11,11,10,0,0,0,0
2/3/2021 15:00,EUR,Low,Final Services PMI,45.4,45,45,46,11,11,9,0,1,0,0
